tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,avoid_x,avoid_y,avoid_yaw,avoid_k
37,1789393210488910716,46109541450991,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
38,1789393210498939756,46109551480031,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
39,1789393210508986127,46109561526401,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
40,1789393210518921356,46109571461632,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
41,1789393210528921743,46109581462019,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
42,1789393210538915810,46109591456085,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
43,1789393210548918149,46109601458423,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
44,1789393210558909842,46109611450117,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
45,1789393210569071462,46109621611734,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
46,1789393210578915544,46109631455819,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
47,1789393210588913815,46109641454090,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
48,1789393210598915715,46109651455988,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
49,1789393210608912611,46109661452886,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
50,1789393210619614314,46109672154585,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
51,1789393210628919485,46109681459759,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
