tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,avoid_x,avoid_y,avoid_yaw,avoid_k,state,path_source,immediate_stop,v_ref,n_points,x0,y0,yaw0,k0,x1,y1,yaw1,k1,x2,y2,yaw2,k2,x3,y3,yaw3,k3,x4,y4,yaw4,k4,x5,y5,yaw5,k5,x6,y6,yaw6,k6,x7,y7,yaw7,k7,x8,y8,yaw8,k8,x9,y9,yaw9,k9,x10,y10,yaw10,k10,x11,y11,yaw11,k11,x12,y12,yaw12,k12,x13,y13,yaw13,k13,x14,y14,yaw14,k14,x15,y15,yaw15,k15,x16,y16,yaw16,k16,x17,y17,yaw17,k17,x18,y18,yaw18,k18,x19,y19,yaw19,k19,top,navigation,avoidance,signal,safety,mission,mission_type,speed_owner,reference_available,ref_valid,ref_fresh,ref_age_s,ref_generation,stop_reasons,parking_calibration,zone_calibration,zone_generation,recovery_configured,rear_sensor_valid,rear_corridor_state,recovery_eligible,recovery_block_reason,recovery_attempts,reverse_command_time_s,reverse_measured_distance_m,reverse_distance_complete,last_recovery_reason,traffic_remaining_m,traffic_stop_success,route_phase,route_index,route_count,route_sequence_id,route_instance_id,route_request_id,route_requested_index,route_end_reached,route_completion,route_connecting,route_requested_connecting,mission_failed,mission_cancel_reason,parking_search_zone_only,parking_zone_entry_active,sensor_alive_mask,reference_motion_blocked,stamp_s
3695.0,1.7893932470689485e+18,46146121488772.0,1.936120391,1.0,0.0,1.0,0.7663516998,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.784395456,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.11446,1.7893932469544878e+18,0.0,3.0,1.0,1.7893932469544878e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,0.0,1789393247.0689485
3696.0,1.7893932470789135e+18,46146131453720.0,1.937909007,1.0,0.0,1.0,0.7663516998,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.784395456,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.124425,1.7893932469544878e+18,0.0,3.0,1.0,1.7893932469544878e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,0.0,1789393247.0789135
3697.0,1.7893932470889848e+18,46146141525094.0,1.938168049,1.0,0.0,1.0,0.7663516998,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.669815063,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.134497,1.7893932469544878e+18,0.0,3.0,1.0,1.7893932469544878e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,0.0,1789393247.0889847
3698.0,1.7893932470989706e+18,46146151510937.0,1.938547254,1.0,0.0,1.0,0.7663516998,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.669815063,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.144482,1.7893932469544878e+18,0.0,3.0,1.0,1.7893932469544878e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,0.0,1789393247.0989707
3699.0,1.7893932471089774e+18,46146161517804.0,1.939671874,1.0,0.0,1.0,0.7663516998,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.669815063,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.154489,1.7893932469544878e+18,0.0,3.0,1.0,1.7893932469544878e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,0.0,1789393247.1089773
3700.0,1.7893932471189215e+18,46146171461668.0,1.93920362,1.0,0.0,1.0,0.7663516998,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.669815063,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.164433,1.7893932469544878e+18,0.0,3.0,1.0,1.7893932469544878e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,0.0,1789393247.1189215
3701.0,1.7893932471289096e+18,46146181449794.0,1.937935472,1.0,0.0,1.0,0.7663516998,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.669815063,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.174421,1.7893932469544878e+18,0.0,3.0,1.0,1.7893932469544878e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,0.0,1789393247.1289096
3702.0,1.7893932471389274e+18,46146191467669.0,1.937067032,1.0,0.0,1.0,0.68007797,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.669815063,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.184439,1.7893932469544878e+18,0.0,3.0,1.0,1.7893932469544878e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,0.0,1789393247.1389275
3703.0,1.789393247148938e+18,46146201478285.0,1.93562448,1.0,0.0,1.0,0.68007797,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.669815063,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,1.0,1.7893932470924613e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,1.0,1789393247.148938
3704.0,1.7893932471589558e+18,46146211496098.0,1.935730219,1.0,0.0,1.0,0.68007797,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.669815063,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,2.43392944,0.575162888,0.204072714,-0.000280684646,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,1.0,1.7893932470924613e+18,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.780737510018285e+19,1.363203185561936e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,1.0,1789393247.1589558
