tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,auto_estop,estop,parking_valid,parking_wall_complete,parking_ready,parking_search,parking_request_id,traffic_fail_safe,avoid_x,avoid_y,avoid_yaw,avoid_k,gps_x,gps_y,gps_heading_valid,rear_clear,red,green,traffic_stop_required,stopline,stop_distance,gps_position_valid
0,1789394061228816178,46960281356441,0.0001346675272,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1789394061238715186,46960291255435,-0.0002800058865,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1789394061248714659,46960301254919,-0.0001770499512,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1789394061258721035,46960311261304,-0.0001770499512,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1789394061268709577,46960321249853,0.0001949159923,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1789394061278710414,46960331250690,0.0002181526215,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1789394061288717869,46960341258132,9.527112707e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1789394061298714243,46960351254503,9.527112707e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1789394061308715936,46960361256187,-0.0001155694699,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1789394061318711724,46960371251982,-0.0001570332242,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
