tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
64,1789654099.664118290,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
65,1789654099.674136639,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
66,1789654099.684137106,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
67,1789654099.694106817,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
68,1789654099.704118967,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
69,1789654099.714109659,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
70,1789654099.724144459,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
71,1789654099.734144688,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
72,1789654099.744115353,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
73,1789654099.754135370,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
74,1789654099.764117479,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
75,1789654099.774130583,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
76,1789654099.784137964,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
77,1789654099.794120550,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
78,1789654099.804143429,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
79,1789654099.814136744,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
80,1789654099.824125290,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
81,1789654099.834133148,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
82,1789654099.844140530,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
83,1789654099.854164124,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
84,1789654099.864169836,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
85,1789654099.874134302,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
86,1789654099.884139299,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
87,1789654099.894131660,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
88,1789654099.904174328,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
89,1789654099.914133549,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
90,1789654099.924154282,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
91,1789654099.934136868,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
92,1789654099.944166660,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
93,1789654099.954169750,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
94,1789654099.964177132,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
95,1789654099.974118233,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
96,1789654099.984175205,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
97,1789654099.994114399,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
98,1789654100.004168034,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
99,1789654100.014135361,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
100,1789654100.024168015,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
101,1789654100.034132004,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
102,1789654100.044164896,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
103,1789654100.054165602,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
104,1789654100.064165354,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
105,1789654100.074129343,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
106,1789654100.084129095,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
107,1789654100.094141722,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
108,1789654100.104173660,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
109,1789654100.114174366,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
110,1789654100.124168634,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
111,1789654100.134135485,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
112,1789654100.144148588,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
113,1789654100.154126406,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
114,1789654100.164172173,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
115,1789654100.174129248,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
116,1789654100.184173107,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
117,1789654100.194124699,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
118,1789654100.204173326,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
119,1789654100.214164495,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
120,1789654100.224118948,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
