start_s,end_s,state,map_x,map_y
0.0,9.48911166191101,출발 대기,0.0,0.0
9.48911166191101,14.489131212234497,GPS 주행,-2.34354904,-2.055709333
14.489131212234497,27.329099893569946,회피,-4.380134477,-4.096576
27.329099893569946,27.33909821510315,GPS 복귀,-13.013485788,-12.946516
27.33909821510315,27.94911551475525,GPS 주행,-13.013485788,-12.946516
27.94911551475525,29.93909978866577,차선 주행,-13.36767456,-13.317582667
29.93909978866577,31.23912215232849,GPS 주행,-15.891269559,-15.785176
31.23912215232849,33.439117193222046,차선 주행,-17.765518476,-17.677616
33.439117193222046,34.23911809921265,GPS 주행,-20.421934264,-20.423509334
34.23911809921265,35.60909581184387,차선 주행,-20.938459556,-20.943002666
35.60909581184387,102.88909196853638,주행 종료,-20.982733152,-20.980109333
