tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
8354,1789650258.230935097,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8355,1789650258.240934134,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8356,1789650258.250927210,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8357,1789650258.260934353,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8358,1789650258.270956993,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8359,1789650258.280934572,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8360,1789650258.290925026,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8361,1789650258.300938606,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8362,1789650258.310926914,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8363,1789650258.320940733,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8364,1789650258.330931187,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8365,1789650258.340933323,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8366,1789650258.350924492,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8367,1789650258.360941648,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8368,1789650258.370943069,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8369,1789650258.380992651,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8370,1789650258.390927076,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8371,1789650258.400933027,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8372,1789650258.410926104,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8373,1789650258.420930147,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8374,1789650258.430925369,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8375,1789650258.440928221,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8376,1789650258.450932264,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8377,1789650258.460942745,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8378,1789650258.470953941,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8379,1789650258.480926752,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8380,1789650258.490947008,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8381,1789650258.500934362,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8382,1789650258.510922432,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8383,1789650258.520937681,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8384,1789650258.530921698,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8385,1789650258.540929556,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8386,1789650258.550939083,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8387,1789650258.560943604,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8388,1789650258.570956469,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8389,1789650258.580956459,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8390,1789650258.590955019,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8391,1789650258.600949764,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8392,1789650258.610947847,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8393,1789650258.620945454,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8394,1789650258.630946636,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8395,1789650258.640993357,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8396,1789650258.650952816,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8397,1789650258.660987854,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8398,1789650258.670980453,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8399,1789650258.680942297,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8400,1789650258.690926075,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8401,1789650258.700936556,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8402,1789650258.710924864,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8403,1789650258.720929861,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8404,1789650258.730929852,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8405,1789650258.740933895,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8406,1789650258.750942707,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8407,1789650258.760934114,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8408,1789650258.770966291,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8409,1789650258.780934334,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8410,1789650258.790934563,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8411,1789650258.800932884,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8412,1789650258.810930252,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8413,1789650258.820930243,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8414,1789650258.830927372,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8415,1789650258.840935707,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8416,1789650258.850944996,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8417,1789650258.860940456,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8418,1789650258.870934010,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8419,1789650258.880975246,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8420,1789650258.890923023,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8421,1789650258.900931597,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8422,1789650258.910929203,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8423,1789650258.920923710,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8424,1789650258.930929899,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8425,1789650258.940930843,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8426,1789650258.950943470,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8427,1789650258.960936546,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8428,1789650258.970942497,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8429,1789650258.980925322,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8430,1789650258.990967512,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8431,1789650259.000928402,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8432,1789650259.010921955,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8433,1789650259.020928621,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8434,1789650259.030924320,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
