tick,event_time_ns,stopline_detected,stop_distance,red,green,vehicle_speed,vehicle_speed_valid
98,1789335592276145796,0,0,0,0,9.154849977e-05,1
99,1789335592286138976,0,0,0,0,-9.91748966e-05,1
100,1789335592296180359,0,0,0,0,-0.0001457031467,1
101,1789335592306145333,0,0,0,0,-0.0001171396943,1
102,1789335592316155980,0,0,0,0,2.242854498e-05,1
103,1789335592326157260,0,0,0,0,9.79912511e-05,1
104,1789335592336170121,0,0,0,0,0.000121850484,1
105,1789335592346167498,0,0,0,0,-2.636316458e-05,1
106,1789335592356147705,0,0,0,0,1.53615747e-06,1
107,1789335592366208281,0,0,0,0,2.255174695e-05,1
108,1789335592376150955,0,0,0,0,4.489130879e-05,1
109,1789335592386194509,0,0,0,0,3.995233419e-05,1
110,1789335592396139246,0,0,0,0,3.93367518e-05,1
111,1789335592406148168,0,0,0,0,2.766376201e-05,1
112,1789335592416132068,0,0,0,0,3.207488407e-05,1
113,1789335592426149802,0,0,0,0,2.276384294e-05,1
114,1789335592436157578,0,0,0,0,3.312426998e-05,1
115,1789335592446139317,0,0,0,0,3.283830665e-05,1
116,1789335592456167436,0,0,0,0,2.970384594e-05,1
117,1789335592466139070,0,0,0,0,1.409175457e-05,1
118,1789335592476166141,0,0,0,0,1.930046346e-05,1
119,1789335592486142479,0,0,0,0,1.287226678e-05,1
120,1789335592496158835,0,0,0,0,2.264963041e-05,1
121,1789335592506179081,0,0,0,0,2.478061106e-05,1
122,1789335592516152357,0,0,0,0,3.188437404e-05,1
123,1789335592526148585,0,0,0,0,4.177001392e-05,1
124,1789335592536146515,0,0,0,0,1.591601659e-07,1
125,1789335592546147704,0,0,0,0,6.335141279e-06,1
126,1789335592556161436,0,0,0,0,2.464887075e-06,1
127,1789335592566160546,0,0,0,0,-1.193783737e-05,1
128,1789335592576153027,0,0,0,0,-7.722754162e-06,1
129,1789335592586157814,0,0,0,0,3.322097882e-06,1
130,1789335592596158031,0,0,0,0,2.033358896e-06,1
131,1789335592606137792,0,0,0,0,-1.70943531e-05,1
132,1789335592616149406,0,0,0,0,-3.238310455e-05,1
133,1789335592626158257,0,0,0,0,-2.666885666e-05,1
134,1789335592636149234,0,0,0,0,-2.541562753e-05,1
135,1789335592646168841,0,0,0,0,-2.397446406e-05,1
136,1789335592656150851,0,0,0,0,-3.630136416e-05,1
137,1789335592666157074,0,0,0,0,-3.174021185e-05,1
138,1789335592676151946,0,0,0,0,-3.2914646e-05,1
139,1789335592687138280,0,0,0,0,-3.407605254e-05,1
140,1789335592696153979,0,0,0,0,-3.517635196e-05,1
141,1789335592706135308,0,0,0,0,-3.470230877e-05,1
142,1789335592716163606,0,0,0,0,-3.523823761e-05,1
143,1789335592726159622,0,0,0,0,-8.281733608e-05,1
144,1789335592736139380,0,0,0,0,-7.660805568e-05,1
145,1789335592746174128,0,0,0,0,5.728870747e-05,1
146,1789335592756161980,0,0,0,0,0.0001250907517,1
147,1789335592766125478,0,0,0,0,8.974494995e-05,1
148,1789335592776169109,0,0,0,0,-4.82208925e-05,1
149,1789335592786122052,0,0,0,0,-9.044139006e-05,1
150,1789335592796153138,0,0,0,0,-0.0001617370726,1
151,1789335592806160202,0,0,0,0,-5.452159166e-05,1
152,1789335592816149186,0,0,0,0,0.000102364138,1
153,1789335592826136810,0,0,0,0,0.0001566260471,1
154,1789335592836158855,0,0,0,0,7.573352195e-05,1
155,1789335592846139421,0,0,0,0,-7.970911975e-05,1
156,1789335592856146172,0,0,0,0,-8.683881606e-05,1
157,1789335592866163737,0,0,0,0,8.651187272e-06,1
158,1789335592876152848,0,0,0,0,0.0001350216771,1
159,1789335592886187782,0,0,0,0,0.000182063086,1
160,1789335592896151179,0,0,0,0,0.0001271871588,1
161,1789335592906214322,0,0,0,0,1.945447184e-05,1
162,1789335592916212097,0,0,0,0,-8.628310025e-05,1
163,1789335592926171622,0,0,0,0,-5.995744141e-05,1
164,1789335592936232425,0,0,0,0,2.253270759e-05,1
165,1789335592946216295,0,0,0,0,9.371979104e-05,1
166,1789335592956145964,0,0,0,0,6.137937453e-05,1
167,1789335592966148215,0,0,0,0,5.360567229e-05,1
168,1789335592976165990,0,0,0,0,3.12644479e-05,1
169,1789335592986147525,0,0,0,0,3.565910447e-05,1
170,1789335592996149025,0,0,0,0,4.443427679e-05,1
171,1789335593006153085,0,0,0,0,4.423275459e-05,1
172,1789335593016151981,0,0,0,0,3.103778727e-05,1
173,1789335593026146042,0,0,0,0,5.610454173e-05,1
174,1789335593036139603,0,0,0,0,4.247904872e-05,1
175,1789335593046150431,0,0,0,0,-0.0001030601488,1
176,1789335593056195480,0,0,0,0,-0.0001498338243,1
177,1789335593066143464,0,0,0,0,-0.0001039246781,1
178,1789335593076178281,0,0,0,0,2.335341924e-05,1
179,1789335593086144790,0,0,0,0,5.869501547e-05,1
180,1789335593096147184,0,0,0,0,0.0001102011665,1
181,1789335593106210302,0,0,0,0,-2.37961649e-06,1
182,1789335593116136519,0,0,0,0,-0.0001555885246,1
183,1789335593126144515,0,0,0,0,-0.0002184275654,1
184,1789335593136139831,0,0,0,0,-9.291896276e-05,1
185,1789335593146209360,0,0,0,0,5.887126463e-05,1
186,1789335593156172304,0,0,0,0,7.01692843e-05,1
187,1789335593166183117,0,0,0,0,-1.450934633e-05,1
188,1789335593176185813,0,0,0,0,-0.0001536272321,1
189,1789335593186141630,0,0,0,0,-0.0002072989882,1
190,1789335593196212909,0,0,0,0,-0.0001410300465,1
191,1789335593206153839,0,0,0,0,-2.376558223e-05,1
192,1789335593216142763,0,0,0,0,9.676292393e-05,1
193,1789335593226202830,0,0,0,0,6.284921255e-05,1
194,1789335593236147497,0,0,0,0,-2.246870827e-05,1
195,1789335593246140922,0,0,0,0,-0.0001037271068,1
196,1789335593256149593,0,0,0,0,-7.722227019e-05,1
197,1789335593266181636,0,0,0,0,-4.379632082e-05,1
198,1789335593276160779,0,0,0,0,6.506424143e-06,1
199,1789335593286163838,0,0,0,0,-3.155581453e-06,1
200,1789335593296136589,0,0,0,0,-2.044332541e-05,1
201,1789335593306144959,0,0,0,0,-1.94950444e-05,1
202,1789335593316138931,0,0,0,0,-1.075711589e-05,1
203,1789335593326161198,0,0,0,0,-2.089206191e-06,1
204,1789335593336147984,0,0,0,0,6.748882697e-06,1
205,1789335593346139137,0,0,0,0,2.338823833e-05,1
206,1789335593356190913,0,0,0,0,1.000003886e-05,1
207,1789335593366183168,0,0,0,0,8.269678801e-06,1
208,1789335593376141787,0,0,0,0,1.351079118e-05,1
209,1789335593386180035,0,0,0,0,2.207083344e-05,1
210,1789335593396133188,0,0,0,0,4.317957064e-05,1
211,1789335593406148572,0,0,0,0,4.854370854e-05,1
212,1789335593416174232,0,0,0,0,3.283975457e-05,1
213,1789335593426144278,0,0,0,0,2.742763536e-05,1
214,1789335593436141173,0,0,0,0,3.367135287e-05,1
215,1789335593446211664,0,0,0,0,4.014309889e-05,1
216,1789335593456141214,0,0,0,0,3.965200085e-05,1
217,1789335593466142750,0,0,0,0,3.952844418e-05,1
218,1789335593476147251,0,0,0,0,4.378242011e-05,1
219,1789335593486147306,0,0,0,0,4.115576303e-05,1
220,1789335593496139384,0,0,0,0,3.8211012e-05,1
221,1789335593506182473,0,0,0,0,3.470492811e-05,1
222,1789335593516135494,0,0,0,0,2.416194366e-05,1
223,1789335593526145953,0,0,0,0,3.599228148e-05,1
224,1789335593536185930,0,0,0,0,3.832538641e-05,1
225,1789335593546177915,0,0,0,0,5.094607332e-05,1
226,1789335593556206742,0,0,0,0,5.856062126e-05,1
227,1789335593566135405,0,0,0,0,3.423773887e-05,1
228,1789335593576220400,0,0,0,0,5.321829121e-06,1
229,1789335593586183095,0,0,0,0,8.851851817e-06,1
230,1789335593596192441,0,0,0,0,1.354593314e-05,1
231,1789335593606168309,0,0,0,0,1.411798075e-05,1
232,1789335593616231884,0,0,0,0,1.606903425e-05,1
233,1789335593626206513,0,0,0,0,7.613848538e-06,1
234,1789335593636143804,0,0,0,0,-9.476090781e-06,1
235,1789335593646183339,0,0,0,0,-9.493553989e-06,1
236,1789335593656157793,0,0,0,0,-6.847723739e-07,1
237,1789335593666158551,0,0,0,0,-3.533829158e-06,1
238,1789335593677145781,0,0,0,0,-7.982320312e-06,1
239,1789335593686143282,0,0,0,0,-1.21594685e-05,1
240,1789335593697208235,0,0,0,0,-2.20657821e-05,1
241,1789335593706142145,0,0,0,0,-2.428918378e-05,1
242,1789335593716141004,0,0,0,0,-2.377616693e-05,1
243,1789335593726136608,0,0,0,0,-1.30022172e-05,1
244,1789335593736137607,0,0,0,0,-2.491419946e-05,1
245,1789335593746135411,0,0,0,0,-1.090571732e-05,1
246,1789335593756134383,0,0,0,0,7.828326488e-06,1
247,1789335593766134761,0,0,0,0,9.212822988e-06,1
248,1789335593776135891,0,0,0,0,1.992644002e-06,1
249,1789335593786243131,0,0,0,0,-2.733770089e-06,1
250,1789335593796280965,0,0,0,0,7.853826901e-06,1
251,1789335593806137739,0,0,0,0,-4.36568871e-06,1
252,1789335593816134732,0,0,0,0,-1.818410237e-05,1
253,1789335593826171467,0,0,0,0,-2.179268085e-05,1
254,1789335593836169199,0,0,0,0,-1.885251186e-05,1
255,1789335593846164261,0,0,0,0,-1.974879888e-05,1
256,1789335593856158875,0,0,0,0,-2.382876119e-05,1
257,1789335593866720208,0,0,0,0,-2.984537969e-05,1
258,1789335593876161807,0,0,0,0,-3.563984137e-05,1
259,1789335593886187396,0,0,0,0,-3.835499228e-05,1
260,1789335593896150282,0,0,0,0,-3.104398274e-05,1
261,1789335593906197632,0,0,0,0,-3.062236283e-05,1
262,1789335593916192115,0,0,0,0,-3.049651605e-05,1
263,1789335593926174000,0,0,0,0,-1.479534694e-05,1
264,1789335593936148919,0,0,0,0,1.308350602e-05,1
265,1789335593946183800,0,0,0,0,6.58876661e-06,1
266,1789335593956156677,0,0,0,0,-9.042855709e-07,1
267,1789335593966200493,0,0,0,0,-8.397338206e-06,1
268,1789335593976354802,0,0,0,0,-1.222399351e-05,1
269,1789335593986142695,0,0,0,0,4.630481726e-06,1
270,1789335593996223202,0,0,0,0,1.665081618e-05,1
271,1789335594006224305,0,0,0,0,1.595388312e-05,1
272,1789335594016219465,0,0,0,0,1.223116305e-05,1
273,1789335594026197004,0,0,0,0,-1.691477678e-06,1
274,1789335594036183500,0,0,0,0,1.894754678e-05,1
275,1789335594046197871,0,0,0,0,-1.085167332e-05,1
276,1789335594056167791,0,0,0,0,-3.207214104e-05,1
277,1789335594066178247,0,0,0,0,-2.491981104e-05,1
278,1789335594076183171,0,0,0,0,-1.927788799e-05,1
279,1789335594086145615,0,0,0,0,-5.699715985e-06,1
280,1789335594096164603,0,0,0,0,-1.466231515e-05,1
281,1789335594106152995,0,0,0,0,-4.161451216e-06,1
282,1789335594116207434,0,0,0,0,1.28350066e-05,1
283,1789335594126147475,0,0,0,0,9.922336176e-06,1
284,1789335594136184086,0,0,0,0,8.587147022e-06,1
285,1789335594146195201,0,0,0,0,-3.258682909e-06,1
286,1789335594156142834,0,0,0,0,4.489409548e-06,1
287,1789335594166183307,0,0,0,0,-2.256008156e-05,1
288,1789335594176196105,0,0,0,0,-1.385390715e-05,1
289,1789335594186217906,0,0,0,0,0.0001169083189,1
290,1789335594196191598,0,0,0,0,0.0001747870992,1
291,1789335594206229007,0,0,0,0,0.0001392321137,1
292,1789335594216181569,0,0,0,0,1.189126851e-05,1
293,1789335594226177743,0,0,0,0,-0.0001659023983,1
294,1789335594236181036,0,0,0,0,-0.0002324982634,1
295,1789335594246181570,0,0,0,0,-7.540974912e-05,1
296,1789335594256160723,0,0,0,0,0.0001327490754,1
297,1789335594266187555,0,0,0,0,0.0003297815274,1
298,1789335594276211634,0,0,0,0,0.0002516211243,1
299,1789335594286142191,0,0,0,0,6.175310318e-06,1
300,1789335594296140206,0,0,0,0,-0.0001956645428,1
301,1789335594306194621,0,0,0,0,-0.0002417292562,1
302,1789335594316194873,0,0,0,0,-9.4619827e-05,1
303,1789335594326161939,0,0,0,0,5.51448793e-05,1
304,1789335594336227852,0,0,0,0,0.0001092697785,1
305,1789335594346214821,0,0,0,0,0.000132914487,1
306,1789335594356208924,0,0,0,0,2.179885769e-06,1
307,1789335594366190545,0,0,0,0,-9.746630531e-05,1
308,1789335594376207047,0,0,0,0,-0.0001078045825,1
309,1789335594386140683,0,0,0,0,2.638404658e-05,1
310,1789335594396239490,0,0,0,0,6.531858526e-05,1
311,1789335594406203149,0,0,0,0,5.716260057e-05,1
312,1789335594416186916,0,0,0,0,-7.313620881e-05,1
313,1789335594426163277,0,0,0,0,-0.0001287864143,1
314,1789335594436174657,0,0,0,0,-0.0001188976021,1
315,1789335594446202144,0,0,0,0,2.255390245e-05,1
316,1789335594456130755,0,0,0,0,7.210934564e-05,1
317,1789335594466188924,0,0,0,0,0.0001154758138,1
318,1789335594476233960,0,0,0,0,-1.819326462e-05,1
319,1789335594486140752,0,0,0,0,-0.0002070967894,1
320,1789335594496233707,0,0,0,0,-0.0002689847024,1
321,1789335594506202835,0,0,0,0,-0.0001041987998,1
322,1789335594516191902,0,0,0,0,8.50116412e-05,1
323,1789335594526185019,0,0,0,0,0.0002659642487,1
324,1789335594536231134,0,0,0,0,0.0001858766773,1
325,1789335594546210597,0,0,0,0,-2.899672654e-05,1
326,1789335594556224401,0,0,0,0,-0.0002362025698,1
327,1789335594566182051,0,0,0,0,-0.0002922324347,1
328,1789335594576147168,0,0,0,0,-0.0001532599417,1
329,1789335594586141304,0,0,0,0,7.385271601e-05,1
330,1789335594596184479,0,0,0,0,0.0001167388982,1
331,1789335594606222068,0,0,0,0,0.0001102603492,1
332,1789335594616154567,0,0,0,0,-2.378564022e-05,1
333,1789335594626186973,0,0,0,0,-3.389980702e-05,1
334,1789335594636190436,0,0,0,0,-3.419995846e-05,1
335,1789335594646221510,0,0,0,0,-3.625506361e-05,1
336,1789335594656215626,0,0,0,0,-4.127700959e-05,1
337,1789335594666131777,0,0,0,0,-4.526093107e-06,1
338,1789335594676159730,0,0,0,0,1.682748189e-05,1
339,1789335594686157055,0,0,0,0,1.092082221e-05,1
340,1789335594696200465,0,0,0,0,3.285464118e-05,1
341,1789335594706137146,0,0,0,0,4.272714796e-05,1
342,1789335594716143824,0,0,0,0,3.060223025e-05,1
343,1789335594726153695,0,0,0,0,3.114437641e-05,1
344,1789335594736164108,0,0,0,0,2.699753895e-05,1
345,1789335594746142540,0,0,0,0,2.636982936e-05,1
346,1789335594756141097,0,0,0,0,1.469984818e-05,1
347,1789335594766140737,0,0,0,0,8.857846296e-06,1
348,1789335594776167686,0,0,0,0,1.211500239e-05,1
349,1789335594786155486,0,0,0,0,1.783978041e-05,1
350,1789335594796164657,0,0,0,0,1.818276723e-05,1
351,1789335594806143745,0,0,0,0,1.401159625e-05,1
352,1789335594816136687,0,0,0,0,1.711836194e-05,1
353,1789335594826153553,0,0,0,0,1.997053369e-05,1
354,1789335594836232680,0,0,0,0,1.959578367e-05,1
355,1789335594846192921,0,0,0,0,1.277870797e-05,1
