tick,event_time_ns,time_kst,seconds_from_detection,v_ref,v_act,stopline_detected,remaining_m,distance_known,signal
3312,1789335624416141298,06:40:24.416,-1.4100072383880615,2.0,1.93459475,0,,0,1
3313,1789335624426145062,06:40:24.426,-1.400003433227539,2.0,1.935634375,0,,0,1
3314,1789335624436141824,06:40:24.436,-1.3900067806243896,2.0,1.936406612,0,,0,1
3315,1789335624446139489,06:40:24.446,-1.3800091743469238,2.0,1.935592771,0,,0,1
3316,1789335624456146949,06:40:24.456,-1.3700015544891357,2.0,1.936131835,0,,0,1
3317,1789335624466148293,06:40:24.466,-1.3600001335144043,2.0,1.936795473,0,,0,1
3318,1789335624476142642,06:40:24.476,-1.350005865097046,2.0,1.937447667,0,,0,1
3319,1789335624486127663,06:40:24.486,-1.3400208950042725,2.0,1.938452721,0,,0,1
3320,1789335624496154374,06:40:24.496,-1.3299942016601562,2.0,1.937792301,0,,0,1
3321,1789335624506192744,06:40:24.506,-1.319955825805664,2.0,1.938388586,0,,0,1
3322,1789335624516137713,06:40:24.516,-1.3100106716156006,2.0,1.93938601,0,,0,1
3323,1789335624526149832,06:40:24.526,-1.2999985218048096,2.0,1.939696431,0,,0,1
3324,1789335624536158225,06:40:24.536,-1.2899901866912842,2.0,1.940201163,0,,0,1
3325,1789335624546175512,06:40:24.546,-1.279973030090332,2.0,1.939778805,0,,0,1
3326,1789335624556145995,06:40:24.556,-1.2700026035308838,2.0,1.940275431,0,,0,1
3327,1789335624566148726,06:40:24.566,-1.2599999904632568,2.0,1.941174746,0,,0,1
3328,1789335624576152056,06:40:24.576,-1.2499964237213135,2.0,1.940735698,0,,0,1
3329,1789335624586292599,06:40:24.586,-1.2398560047149658,2.0,1.941135883,0,,0,1
3330,1789335624596157497,06:40:24.596,-1.2299909591674805,2.0,1.941135883,0,,0,1
3331,1789335624606147373,06:40:24.606,-1.220001220703125,2.0,1.941081882,0,,0,1
3332,1789335624616172142,06:40:24.616,-1.2099764347076416,2.0,1.941081882,0,,0,1
3333,1789335624626303651,06:40:24.626,-1.1998448371887207,2.0,1.941948295,0,,0,1
3334,1789335624636173965,06:40:24.636,-1.1899745464324951,2.0,1.941683888,0,,0,1
3335,1789335624646158408,06:40:24.646,-1.179990291595459,2.0,1.942043781,0,,0,1
3336,1789335624656157178,06:40:24.656,-1.1699912548065186,2.0,1.941976786,0,,0,1
3337,1789335624666140549,06:40:24.666,-1.1600079536437988,2.0,1.942195177,0,,0,1
3338,1789335624676143817,06:40:24.676,-1.1500046253204346,2.0,1.942495823,0,,0,1
3339,1789335624686137433,06:40:24.686,-1.1400110721588135,2.0,1.942762852,0,,0,1
3340,1789335624696165350,06:40:24.696,-1.1299831867218018,2.0,1.942631841,0,,0,1
3341,1789335624706182772,06:40:24.706,-1.1199657917022705,2.0,1.942011595,0,,0,1
3342,1789335624716185739,06:40:24.716,-1.1099627017974854,2.0,1.942475557,0,,0,1
3343,1789335624726148925,06:40:24.726,-1.0999996662139893,2.0,1.942475557,0,,0,1
3344,1789335624736145573,06:40:24.736,-1.0900027751922607,2.0,1.942218423,0,,0,1
3345,1789335624746143516,06:40:24.746,-1.0800049304962158,2.0,1.942181468,0,,0,1
3346,1789335624756148701,06:40:24.756,-1.0699996948242188,2.0,1.94242084,0,,0,1
3347,1789335624766148790,06:40:24.766,-1.059999704360962,2.0,1.942521095,0,,0,1
3348,1789335624776143798,06:40:24.776,-1.0500047206878662,2.0,1.942140222,0,,0,1
3349,1789335624786150590,06:40:24.786,-1.0399978160858154,2.0,1.94113493,0,,0,1
3350,1789335624796157505,06:40:24.796,-1.0299911499023438,2.0,1.941799998,0,,0,1
3351,1789335624806157136,06:40:24.806,-1.019991397857666,2.0,1.942485809,0,,0,1
3352,1789335624816174154,06:40:24.816,-1.009974479675293,2.0,1.941910625,0,,0,1
3353,1789335624826152225,06:40:24.826,-0.9999964237213135,2.0,1.941910625,0,,0,1
3354,1789335624836146284,06:40:24.836,-0.9900023937225342,2.0,1.941138625,0,,0,1
3355,1789335624846140911,06:40:24.846,-0.9800076484680176,2.0,1.941811085,0,,0,1
3356,1789335624856146865,06:40:24.856,-0.9700014591217041,2.0,1.941811085,0,,0,1
3357,1789335624866158090,06:40:24.866,-0.9599905014038086,2.0,1.941690087,0,,0,1
3358,1789335624876128425,06:40:24.876,-0.9500200748443604,2.0,1.941010237,0,,0,1
3359,1789335624886139837,06:40:24.886,-0.9400086402893066,2.0,1.941010237,0,,0,1
3360,1789335624896168604,06:40:24.896,-0.9299798011779785,2.0,1.942156553,0,,0,1
3361,1789335624906135722,06:40:24.906,-0.9200127124786377,2.0,1.94239378,0,,0,1
3362,1789335624916150689,06:40:24.916,-0.9099977016448975,2.0,1.941423178,0,,0,1
3363,1789335624926132333,06:40:24.926,-0.9000163078308105,2.0,1.941837668,0,,0,1
3364,1789335624936181099,06:40:24.936,-0.8899674415588379,2.0,1.942868829,0,,0,1
3365,1789335624946144839,06:40:24.946,-0.8800036907196045,2.0,1.942175865,0,,0,1
3366,1789335624956149542,06:40:24.956,-0.8699989318847656,2.0,1.941276073,0,,0,1
3367,1789335624966144763,06:40:24.966,-0.8600037097930908,2.0,1.942419171,0,,0,1
3368,1789335624976150418,06:40:24.976,-0.8499979972839355,2.0,1.942910194,0,,0,1
3369,1789335624986153039,06:40:24.986,-0.8399956226348877,2.0,1.942435145,0,,0,1
3370,1789335624996350244,06:40:24.996,-0.8297982215881348,2.0,1.942435145,0,,0,1
3371,1789335625006158253,06:40:25.006,-0.8199901580810547,2.0,1.942643046,0,,0,1
3372,1789335625016172707,06:40:25.016,-0.8099756240844727,2.0,1.943153143,0,,0,1
3373,1789335625026151012,06:40:25.026,-0.7999975681304932,2.0,1.942818761,0,,0,1
3374,1789335625036141442,06:40:25.036,-0.7900068759918213,2.0,1.942818761,0,,0,1
3375,1789335625046144770,06:40:25.046,-0.7800037860870361,2.0,1.94367826,0,,0,1
3376,1789335625056137728,06:40:25.056,-0.7700107097625732,2.0,1.943168402,0,,0,1
