stamp_s,counter,x,y,yaw,v,str,str_ref
1789220002.188,77,0.0000,0.0000,0.0000,-0.0000,0.0001,0.0000
1789220002.198,78,0.0000,0.0000,0.0000,0.0001,-0.0012,0.0000
1789220002.208,79,0.0000,0.0000,0.0000,0.0001,-0.0017,0.0000
1789220002.218,80,0.0000,0.0000,0.0000,0.0001,-0.0014,0.0000
1789220002.228,81,0.0000,0.0000,0.0000,0.0001,-0.0003,0.0000
1789220002.238,82,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000
1789220002.248,83,0.0000,0.0000,0.0000,-0.0000,0.0007,0.0000
1789220002.258,84,0.0000,0.0000,0.0000,-0.0001,0.0012,0.0000
1789220002.268,85,0.0000,0.0000,0.0000,-0.0000,0.0012,0.0000
1789220002.278,86,0.0000,0.0000,0.0000,0.0000,0.0014,0.0000
1789220002.288,87,0.0000,0.0000,0.0000,-0.0000,0.0017,0.0000
1789220002.298,88,0.0000,0.0000,0.0000,-0.0000,0.0026,0.0000
1789220002.308,89,0.0000,0.0000,0.0000,-0.0001,0.0024,0.0000
1789220002.318,90,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000
1789220002.328,91,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000
1789220002.338,92,0.0000,0.0000,0.0000,-0.0001,0.0021,0.0000
1789220002.348,93,0.0000,0.0000,0.0000,-0.0001,0.0019,0.0000
1789220002.358,94,0.0000,0.0000,0.0000,-0.0001,0.0004,0.0000
1789220002.368,95,0.0000,0.0000,0.0000,0.0001,0.0006,0.0000
1789220002.378,96,0.0000,0.0000,0.0000,0.0001,0.0010,0.0000
1789220002.388,97,0.0000,0.0000,0.0000,-0.0000,0.0011,0.0000
1789220002.398,98,0.0000,0.0000,0.0000,-0.0001,-0.0004,0.0000
1789220002.408,99,0.0000,0.0000,0.0000,-0.0000,0.0005,0.0000
1789220002.418,100,0.0000,0.0000,0.0000,0.0001,0.0029,0.0000
1789220002.428,101,0.0000,0.0000,0.0000,0.0001,0.0042,0.0000
1789220002.438,102,0.0000,0.0000,0.0000,0.0001,0.0043,0.0000
1789220002.448,103,0.0000,0.0000,0.0000,-0.0000,0.0022,0.0000
1789220002.458,104,0.0000,0.0000,0.0000,-0.0001,0.0006,0.0000
1789220002.468,105,0.0000,0.0000,0.0000,-0.0001,-0.0018,0.0000
1789220002.478,106,0.0000,0.0000,0.0000,-0.0000,-0.0004,0.0000
1789220002.488,107,0.0000,0.0000,0.0000,0.0001,-0.0001,0.0000
1789220002.498,108,0.0000,0.0000,0.0000,-0.0000,0.0019,0.0000
1789220002.508,109,0.0000,0.0000,0.0000,-0.0001,0.0010,0.0000
1789220002.518,110,0.0000,0.0000,0.0000,-0.0001,0.0009,0.0000
1789220002.528,111,0.0000,0.0000,0.0000,-0.0001,-0.0013,0.0000
1789220002.538,112,0.0000,0.0000,0.0000,0.0000,-0.0005,0.0000
1789220002.548,113,0.0000,0.0000,0.0000,0.0002,-0.0016,0.0000
1789220002.558,114,0.0000,0.0000,0.0000,0.0001,-0.0010,0.0000
1789220002.568,115,0.0000,0.0000,0.0000,0.0000,-0.0024,0.0000
1789220002.578,116,0.0000,0.0000,0.0000,-0.0001,-0.0010,0.0000
1789220002.588,117,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000
1789220002.598,118,0.0000,0.0000,0.0000,0.0002,0.0021,0.0000
1789220002.608,119,0.0000,0.0000,0.0000,0.0002,0.0006,0.0000
1789220002.618,120,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000
1789220002.628,121,0.0000,0.0000,0.0000,-0.0002,0.0002,0.0000
1789220002.638,122,0.0000,0.0000,0.0000,-0.0000,0.0008,0.0000
1789220002.648,123,0.0000,0.0000,0.0000,0.0001,0.0011,0.0000
1789220002.658,124,0.0000,0.0000,0.0000,0.0002,0.0007,0.0000
1789220002.668,125,0.0000,0.0000,0.0000,0.0001,0.0019,0.0000
1789220002.678,126,0.0000,0.0000,0.0000,0.0000,-0.0003,0.0000
1789220002.688,127,0.0000,0.0000,0.0000,0.0001,0.0016,0.0000
1789220002.698,128,0.0000,0.0000,0.0000,0.0001,0.0017,0.0000
1789220002.708,129,0.0000,0.0000,0.0000,-0.0000,0.0028,0.0000
1789220002.718,130,0.0000,0.0000,0.0000,-0.0001,0.0017,0.0000
1789220002.728,131,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000
1789220002.738,132,0.0000,0.0000,0.0000,0.0001,0.0018,0.0000
1789220002.748,133,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000
1789220002.758,134,0.0000,0.0000,0.0000,0.0001,-0.0007,0.0000
1789220002.768,135,0.0000,0.0000,0.0000,0.0001,-0.0013,0.0000
1789220002.778,136,0.0000,0.0000,0.0000,0.0002,-0.0002,0.0000
1789220002.788,137,0.0000,0.0000,0.0000,0.0001,0.0022,0.0000
1789220002.798,138,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000
1789220002.808,139,0.0000,0.0000,0.0000,0.0001,0.0018,0.0000
1789220002.818,140,0.0000,0.0000,0.0000,0.0001,0.0014,0.0000
1789220002.828,141,0.0000,0.0000,0.0000,0.0001,0.0012,0.0000
1789220002.838,142,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000
1789220002.848,143,0.0000,0.0000,0.0000,-0.0001,0.0016,0.0000
1789220002.858,144,0.0000,0.0000,0.0000,-0.0001,0.0024,0.0000
1789220002.868,145,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000
1789220002.878,146,0.0000,0.0000,0.0000,0.0001,0.0026,0.0000
1789220002.888,147,0.0000,0.0000,0.0000,0.0001,0.0028,0.0000
1789220002.898,148,0.0000,0.0000,0.0000,-0.0000,0.0022,0.0000
1789220002.908,149,0.0000,0.0000,0.0000,-0.0001,0.0004,0.0000
1789220002.918,150,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000
1789220002.928,151,0.0000,0.0000,0.0000,0.0001,0.0003,0.0000
1789220002.938,152,0.0000,0.0000,0.0000,0.0002,0.0009,0.0000
1789220002.948,153,0.0000,0.0000,0.0000,0.0001,0.0007,0.0000
1789220002.958,154,0.0000,0.0000,0.0000,-0.0001,0.0019,0.0000
1789220002.968,155,0.0000,0.0000,0.0000,-0.0001,0.0011,0.0000
1789220002.978,156,0.0000,0.0000,0.0000,-0.0000,0.0012,0.0000
1789220002.988,157,0.0000,0.0000,0.0000,-0.0000,0.0010,0.0000
1789220002.998,158,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000
1789220003.008,159,0.0000,0.0000,0.0000,0.0001,0.0004,0.0000
1789220003.018,160,0.0000,0.0000,0.0000,0.0000,-0.0013,0.0000
1789220003.028,161,0.0000,0.0000,0.0000,-0.0001,-0.0016,0.0000
1789220003.038,162,0.0000,0.0000,0.0000,-0.0001,-0.0011,0.0000
1789220003.048,163,0.0000,0.0000,0.0000,-0.0000,0.0007,0.0000
1789220003.058,164,0.0000,0.0000,0.0000,0.0001,0.0011,0.0000
1789220003.068,165,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000
1789220003.078,166,0.0000,0.0000,0.0000,-0.0001,0.0013,0.0000
1789220003.088,167,0.0000,0.0000,0.0000,-0.0001,0.0022,0.0000
1789220003.098,168,0.0000,0.0000,0.0000,-0.0001,0.0025,0.0000
1789220003.108,169,0.0000,0.0000,0.0000,-0.0000,0.0033,0.0000
1789220003.118,170,0.0000,0.0000,0.0000,-0.0000,0.0026,0.0000
1789220003.128,171,0.0000,0.0000,0.0000,-0.0000,0.0020,0.0000
1789220003.138,172,0.0000,0.0000,0.0000,-0.0000,0.0004,0.0000
1789220003.148,173,0.0000,0.0000,0.0000,-0.0000,-0.0001,0.0000
1789220003.158,174,0.0000,0.0000,0.0000,-0.0000,0.0006,0.0000
1789220003.168,175,0.0000,0.0000,0.0000,-0.0000,0.0009,0.0000
1789220003.178,176,0.0000,0.0000,0.0000,-0.0000,0.0015,0.0000
1789220003.188,177,0.0000,0.0000,0.0000,-0.0000,0.0031,0.0000
1789220003.198,178,0.0000,0.0000,0.0000,-0.0000,0.0030,0.0000
1789220003.208,179,0.0000,0.0000,0.0000,0.0002,0.0034,0.0000
1789220003.218,180,0.0000,0.0000,0.0000,0.0002,0.0015,0.0000
1789220003.228,181,0.0000,0.0000,0.0000,0.0002,0.0019,0.0000
