frame_idx,wall_time,infer_ms,mode,confidence,x_m,y_m,yaw_deg,curvature,n_points,points_x_min,points_x_max,points_y_min,points_y_max,points_raw,ref_point0_applied,ref_point0_x,raw_y_m,reject_reason,reject_streak,n_left_candidates,n_right_candidates,width_m,left_hit_ratio,left_rms_residual_m,left_c2,left_c1,left_c0,right_hit_ratio,right_rms_residual_m,right_c2,right_c1,right_c0,is_placeholder_homography
21,1789220017.104,32.603,left_only,0.7044,2.63,-0.292,0.294,-0.10137,1,2.63,2.63,-0.292,-0.292,2.630:-0.292:0.0051:-0.1014,True,2.63,-0.3024,,0,1,1,,1.0,0.05139,-0.056183,0.323059,1.26407,,,,,,False
22,1789220017.2,28.074,left_only,0.7007,2.6391,-0.2952,0.539,-0.10387,1,2.639,2.639,-0.295,-0.295,2.639:-0.295:0.0094:-0.1039,True,2.6391,-0.302,,0,1,1,,1.0,0.0527,-0.054871,0.311173,1.288329,,,,,,False
23,1789220017.305,33.706,left_only,0.7013,2.649,-0.2972,0.772,-0.10689,1,2.649,2.649,-0.297,-0.297,2.649:-0.297:0.0135:-0.1069,True,2.649,-0.3003,,0,1,1,,1.0,0.05247,-0.057005,0.327399,1.260579,,,,,,False
24,1789220017.399,28.721,left_only,0.6988,2.6573,-0.2989,0.959,-0.1094,1,2.657,2.657,-0.299,-0.299,2.657:-0.299:0.0167:-0.1094,True,2.6573,-0.3009,,0,1,1,,1.0,0.05335,-0.05767,0.332926,1.24936,,,,,,False
25,1789220017.498,27.227,left_only,0.701,2.6699,-0.3016,1.242,-0.11301,1,2.67,2.67,-0.302,-0.302,2.670:-0.302:0.0217:-0.1130,True,2.6699,-0.3028,,0,1,1,,1.0,0.0526,-0.060801,0.361115,1.191036,,,,,,False
26,1789220017.604,32.837,left_only,0.6823,2.6502,-0.295,0.69,-0.10863,1,2.65,2.65,-0.295,-0.295,2.650:-0.295:0.0120:-0.1086,True,2.6502,-0.29,,0,1,1,,1.0,0.0592,-0.049138,0.244789,1.44787,,,,,,False
27,1789220017.699,28.394,left_only,0.7041,2.6585,-0.2986,0.929,-0.11032,1,2.658,2.658,-0.299,-0.299,2.658:-0.299:0.0162:-0.1103,True,2.6585,-0.3045,,0,1,1,,1.0,0.0515,-0.057186,0.332097,1.243853,,,,,,False
28,1789220017.798,27.493,left_only,0.7062,2.6594,-0.3,1.001,-0.10994,1,2.659,2.659,-0.3,-0.3,2.659:-0.300:0.0175:-0.1099,True,2.6594,-0.3026,,0,1,1,,1.0,0.05074,-0.054551,0.310796,1.285947,,,,,,False
29,1789220017.9,28.679,left_only,0.7035,2.6598,-0.3003,1.015,-0.10998,1,2.66,2.66,-0.3,-0.3,2.660:-0.300:0.0177:-0.1100,True,2.6598,-0.301,,0,1,1,,1.0,0.05169,-0.055071,0.311301,1.290752,,,,,,False
30,1789220018.004,32.973,left_only,0.7036,2.6707,-0.3029,1.258,-0.11306,1,2.671,2.671,-0.303,-0.303,2.671:-0.303:0.0220:-0.1131,True,2.6707,-0.3047,,0,1,1,,1.0,0.05167,-0.060193,0.356212,1.198432,,,,,,False
31,1789220018.098,28.747,both,0.3566,2.5286,-0.245,-2.081,-0.05382,1,2.529,2.529,-0.245,-0.245,2.529:-0.245:-0.0363:-0.0538,True,2.5286,-0.1893,,0,1,1,3.61,1.0,0.05671,-0.028153,0.038714,1.884382,0.5556,0.15428,0.112395,-0.884467,-0.483919,False
32,1789220018.2,28.506,left_only,0.692,2.5504,-0.2585,-1.472,-0.06735,1,2.55,2.55,-0.258,-0.258,2.550:-0.258:-0.0257:-0.0674,True,2.5504,-0.2974,,0,1,1,,1.0,0.05578,-0.049456,0.25412,1.415371,,,,,,False
33,1789220018.297,25.821,left_only,0.7009,2.5801,-0.2736,-0.61,-0.08062,1,2.58,2.58,-0.274,-0.274,2.580:-0.274:-0.0106:-0.0806,True,2.5801,-0.3046,,0,1,1,,1.0,0.05263,-0.055723,0.31669,1.276817,,,,,,False
34,1789220018.398,27.702,left_only,0.6978,2.5996,-0.2811,-0.211,-0.08904,1,2.6,2.6,-0.281,-0.281,2.600:-0.281:-0.0037:-0.0890,True,2.5996,-0.3002,,0,1,1,,1.0,0.05373,-0.054337,0.298745,1.322612,,,,,,False
35,1789220018.503,32.892,left_only,0.7037,2.6173,-0.2888,0.21,-0.09518,1,2.617,2.617,-0.289,-0.289,2.617:-0.289:0.0037:-0.0952,True,2.6173,-0.3052,,0,1,1,,1.0,0.05162,-0.054761,0.311161,1.284131,,,,,,False
36,1789220018.599,29.072,left_only,0.6852,2.5834,-0.278,-1.02,-0.08603,1,2.583,2.583,-0.278,-0.278,2.583:-0.278:-0.0178:-0.0860,True,2.5834,-0.2895,,0,1,1,,1.0,0.05818,-0.0324,0.09197,1.756206,,,,,,False
37,1789220018.697,27.401,left_only,0.7039,2.6115,-0.2878,-0.17,-0.0952,1,2.611,2.611,-0.288,-0.288,2.611:-0.288:-0.0030:-0.0952,True,2.6115,-0.3038,,0,1,1,,1.0,0.05156,-0.058251,0.341499,1.225922,,,,,,False
38,1789220018.799,29.25,left_only,0.7002,2.6323,-0.2928,0.372,-0.10191,1,2.632,2.632,-0.293,-0.293,2.632:-0.293:0.0065:-0.1019,True,2.6323,-0.2999,,0,1,1,,1.0,0.05286,-0.058801,0.34276,1.23101,,,,,,False
39,1789220018.903,32.626,left_only,0.7018,2.6445,-0.2969,0.698,-0.10515,1,2.645,2.645,-0.297,-0.297,2.645:-0.297:0.0122:-0.1052,True,2.6445,-0.3038,,0,1,1,,1.0,0.05231,-0.056384,0.326585,1.253879,,,,,,False
40,1789220018.997,28.183,left_only,0.6959,2.6281,-0.2927,0.193,-0.1011,1,2.628,2.628,-0.293,-0.293,2.628:-0.293:0.0034:-0.1011,True,2.6281,-0.2967,,0,1,1,,1.0,0.0544,-0.045797,0.219463,1.487117,,,,,,False
41,1789220019.102,32.269,left_only,0.6949,2.6259,-0.2914,0.091,-0.10095,1,2.626,2.626,-0.291,-0.291,2.626:-0.291:0.0016:-0.1009,True,2.6259,-0.2964,,0,1,1,,1.0,0.05474,-0.050299,0.261123,1.40289,,,,,,False
42,1789220019.204,32.967,left_only,0.7055,2.6391,-0.2956,0.488,-0.10427,1,2.639,2.639,-0.296,-0.296,2.639:-0.296:0.0085:-0.1043,True,2.6391,-0.3027,,0,1,1,,1.0,0.051,-0.056027,0.323482,1.261103,,,,,,False
43,1789220019.298,28.107,left_only,0.6639,2.6552,-0.3055,1.268,-0.1045,1,2.655,2.655,-0.306,-0.306,2.655:-0.306:0.0221:-0.1045,True,2.6552,-0.3152,,0,1,1,,0.6667,0.06569,-0.052633,0.33732,1.176487,,,,,,False
44,1789220019.403,32.969,left_only,0.7066,2.6667,-0.3054,1.457,-0.10879,1,2.667,2.667,-0.305,-0.305,2.667:-0.305:0.0254:-0.1088,True,2.6667,-0.3002,,0,1,1,,1.0,0.05062,-0.05949,0.3532,1.205573,,,,,,False
45,1789220019.503,33.047,left_only,0.7035,2.672,-0.3049,1.506,-0.11113,1,2.672,2.672,-0.305,-0.305,2.672:-0.305:0.0263:-0.1111,True,2.672,-0.3007,,0,1,1,,1.0,0.05169,-0.058366,0.341549,1.229912,,,,,,False
46,1789220019.597,27.465,left_only,0.682,2.7027,-0.3129,2.238,-0.11832,1,2.703,2.703,-0.313,-0.313,2.703:-0.313:0.0391:-0.1183,True,2.7027,-0.3165,,0,1,1,,0.6667,0.05931,-0.067871,0.443768,0.993065,,,,,,False
47,1789220019.702,32.834,left_only,0.6476,2.7007,-0.3172,2.563,-0.11374,1,2.701,2.701,-0.317,-0.317,2.701:-0.317:0.0447:-0.1137,True,2.7007,-0.3146,,0,1,1,,0.6667,0.07143,-0.051774,0.337101,1.170106,,,,,,False
48,1789220019.803,33.364,left_only,0.7049,2.6939,-0.3135,2.264,-0.11381,1,2.694,2.694,-0.313,-0.313,2.694:-0.313:0.0395:-0.1138,True,2.6939,-0.3016,,0,1,1,,1.0,0.05121,-0.05703,0.33285,1.243167,,,,,,False
49,1789220019.899,28.64,left_only,0.7071,2.6951,-0.3119,2.154,-0.11563,1,2.695,2.695,-0.312,-0.312,2.695:-0.312:0.0376:-0.1156,True,2.6951,-0.3036,,0,1,1,,1.0,0.05044,-0.060043,0.357038,1.195722,,,,,,False
50,1789220020.002,32.033,left_only,0.6803,2.7285,-0.318,2.831,-0.12408,1,2.728,2.728,-0.318,-0.318,2.728:-0.318:0.0494:-0.1241,True,2.7285,-0.3171,,0,1,1,,0.6667,0.05988,-0.07236,0.480952,0.921324,,,,,,False
51,1789220020.101,32.799,both,0.4193,2.6201,-0.2855,1.577,-0.08504,1,2.62,2.62,-0.285,-0.285,2.620:-0.285:0.0275:-0.0850,True,2.6201,-0.2158,,0,1,1,3.72,0.6667,0.06235,-0.067815,0.446145,0.985234,0.6667,0.15648,0.074602,-0.591969,-1.040502,False
52,1789220020.202,32.497,left_only,0.6739,2.6547,-0.2998,2.268,-0.09608,1,2.655,2.655,-0.3,-0.3,2.655:-0.300:0.0396:-0.0961,True,2.6547,-0.3168,,0,1,1,,0.6667,0.06215,-0.061188,0.399566,1.065186,,,,,,False
53,1789220020.301,30.96,left_only,0.7114,2.6698,-0.3027,2.24,-0.10369,1,2.67,2.67,-0.303,-0.303,2.670:-0.303:0.0391:-0.1037,True,2.6698,-0.3038,,0,1,1,,1.0,0.04891,-0.06086,0.36633,1.174921,,,,,,False
54,1789220020.404,33.496,left_only,0.6587,2.682,-0.3107,2.685,-0.10458,1,2.682,2.682,-0.311,-0.311,2.682:-0.311:0.0469:-0.1046,True,2.682,-0.3144,,0,1,1,,0.6667,0.06753,-0.053624,0.355613,1.131421,,,,,,False
55,1789220020.502,31.655,left_only,0.705,2.6857,-0.3097,2.45,-0.10867,1,2.686,2.686,-0.31,-0.31,2.686:-0.310:0.0428:-0.1087,True,2.6857,-0.3028,,0,1,1,,1.0,0.05118,-0.059193,0.352085,1.20368,,,,,,False
56,1789220020.604,34.311,left_only,0.663,2.7019,-0.3162,2.858,-0.1118,1,2.702,2.702,-0.316,-0.316,2.702:-0.316:0.0499:-0.1118,True,2.7019,-0.3171,,0,1,1,,0.6667,0.066,-0.059905,0.394407,1.06879,,,,,,False
57,1789220020.705,34.556,left_only,0.7038,2.695,-0.3128,2.465,-0.11262,1,2.695,2.695,-0.313,-0.313,2.695:-0.313:0.0430:-0.1126,True,2.695,-0.3018,,0,1,1,,1.0,0.0516,-0.057306,0.334063,1.241751,,,,,,False
58,1789220020.803,33.302,both,0.5308,2.522,-0.2644,-0.916,-0.03488,1,2.522,2.522,-0.264,-0.264,2.522:-0.264:-0.0160:-0.0349,True,2.522,-0.2085,,0,1,1,3.89,1.0,0.0635,0.038992,-0.293954,2.244365,0.5556,0.15277,0.108227,-0.84722,-0.562716,False
59,1789220020.906,34.951,left_only,0.7075,2.5639,-0.2807,0.21,-0.06073,1,2.564,2.564,-0.281,-0.281,2.564:-0.281:0.0037:-0.0607,True,2.5639,-0.3057,,0,1,1,,1.0,0.05029,-0.060514,0.363235,1.179214,,,,,,False
60,1789220021.004,35.404,both,0.5848,2.4937,-0.2407,-2.448,-0.00477,1,2.494,2.494,-0.241,-0.241,2.494:-0.241:-0.0427:-0.0048,True,2.4937,-0.2117,,0,1,1,3.92,1.0,0.03814,0.01342,-0.066519,1.781354,0.5556,0.15384,0.112351,-0.882831,-0.488738,False
61,1789220021.105,34.862,left_only,0.6354,2.5194,-0.2708,-0.554,-0.02865,1,2.519,2.519,-0.271,-0.271,2.519:-0.271:-0.0097:-0.0287,True,2.5194,-0.3157,,0,1,1,,0.6667,0.07573,-0.042183,0.280394,1.252729,,,,,,False
62,1789220021.206,36.269,left_only,0.7097,2.5554,-0.2818,0.235,-0.05388,1,2.555,2.555,-0.282,-0.282,2.555:-0.282:0.0041:-0.0539,True,2.5554,-0.3005,,0,1,1,,1.0,0.04951,-0.056362,0.326654,1.256749,,,,,,False
63,1789220021.304,34.254,left_only,0.6778,2.6316,-0.302,2.051,-0.08514,1,2.632,2.632,-0.302,-0.302,2.632:-0.302:0.0358:-0.0851,True,2.6316,-0.3163,,0,1,1,,0.6667,0.06077,-0.079321,0.536867,0.816993,,,,,,False
64,1789220021.397,27.427,left_only,0.6752,2.6548,-0.3102,2.411,-0.09331,1,2.655,2.655,-0.31,-0.31,2.655:-0.310:0.0421:-0.0933,True,2.6548,-0.3168,,0,1,1,,0.6667,0.06169,-0.056407,0.360915,1.138144,,,,,,False
65,1789220021.501,30.676,left_only,0.7054,2.6659,-0.3089,2.256,-0.10065,1,2.666,2.666,-0.309,-0.309,2.666:-0.309:0.0394:-0.1007,True,2.6659,-0.3017,,0,1,1,,1.0,0.05105,-0.058991,0.350011,1.209198,,,,,,False
66,1789220021.602,31.706,left_only,0.6755,2.6956,-0.3148,2.754,-0.10994,1,2.696,2.696,-0.315,-0.315,2.696:-0.315:0.0481:-0.1099,True,2.6956,-0.3145,,0,1,1,,0.6667,0.06157,-0.066173,0.432147,1.014641,,,,,,False
67,1789220021.697,27.764,both,0.5871,2.5343,-0.2731,-0.042,-0.03919,1,2.534,2.534,-0.273,-0.273,2.534:-0.273:-0.0007:-0.0392,True,2.5343,-0.2133,,0,1,1,3.93,1.0,0.03906,0.013808,-0.0688,1.783358,0.5556,0.15607,0.112975,-0.886192,-0.486053,False
68,1789220021.802,32.43,left_only,0.6837,2.6084,-0.2961,1.871,-0.07411,1,2.608,2.608,-0.296,-0.296,2.608:-0.296:0.0327:-0.0741,True,2.6084,-0.3154,,0,1,1,,0.6667,0.05871,-0.077986,0.524239,0.843806,,,,,,False
69,1789220021.903,32.557,left_only,0.7064,2.6302,-0.299,1.855,-0.08651,1,2.63,2.63,-0.299,-0.299,2.630:-0.299:0.0324:-0.0865,True,2.6302,-0.3022,,0,1,1,,1.0,0.05067,-0.05782,0.339626,1.229296,,,,,,False
70,1789220022.0,28.342,left_only,0.7079,2.6439,-0.301,1.775,-0.09451,1,2.644,2.644,-0.301,-0.301,2.644:-0.301:0.0310:-0.0945,True,2.6439,-0.303,,0,1,1,,1.0,0.05015,-0.056648,0.33004,1.24669,,,,,,False
71,1789220022.099,28.729,left_only,0.7038,2.6558,-0.3022,1.779,-0.10066,1,2.656,2.656,-0.302,-0.302,2.656:-0.302:0.0310:-0.1007,True,2.6558,-0.3009,,0,1,1,,1.0,0.05161,-0.057589,0.339716,1.228277,,,,,,False
72,1789220022.201,31.364,left_only,0.7018,2.6581,-0.302,1.618,-0.10335,1,2.658,2.658,-0.302,-0.302,2.658:-0.302:0.0282:-0.1034,True,2.6581,-0.3005,,0,1,1,,1.0,0.05232,-0.054857,0.313843,1.281686,,,,,,False
73,1789220022.298,27.636,left_only,0.6517,2.6557,-0.3101,2.088,-0.0967,1,2.656,2.656,-0.31,-0.31,2.656:-0.310:0.0364:-0.0967,True,2.6557,-0.3147,,0,1,1,,0.6667,0.07,-0.040765,0.271571,1.2675,,,,,,False
74,1789220022.401,30.621,left_only,0.7052,2.6704,-0.3096,2.107,-0.10415,1,2.67,2.67,-0.31,-0.31,2.670:-0.310:0.0368:-0.1042,True,2.6704,-0.3027,,0,1,1,,1.0,0.05112,-0.060902,0.366168,1.176904,,,,,,False
75,1789220022.498,28.334,left_only,0.6581,2.6742,-0.3158,2.374,-0.10279,1,2.674,2.674,-0.316,-0.316,2.674:-0.316:0.0414:-0.1028,True,2.6742,-0.3186,,0,1,1,,0.6667,0.06774,-0.04999,0.320635,1.199452,,,,,,False
76,1789220022.597,27.239,left_only,0.704,2.6759,-0.3124,2.129,-0.10636,1,2.676,2.676,-0.312,-0.312,2.676:-0.312:0.0372:-0.1064,True,2.6759,-0.3017,,0,1,1,,1.0,0.05153,-0.057413,0.334856,1.240489,,,,,,False
77,1789220022.699,28.882,left_only,0.7079,2.6828,-0.3102,2.091,-0.11046,1,2.683,2.683,-0.31,-0.31,2.683:-0.310:0.0365:-0.1105,True,2.6828,-0.3001,,0,1,1,,1.0,0.05015,-0.060118,0.359281,1.193133,,,,,,False
78,1789220022.802,32.579,both,0.5821,2.5281,-0.2676,-0.607,-0.03836,1,2.528,2.528,-0.268,-0.268,2.528:-0.268:-0.0106:-0.0384,True,2.5281,-0.2131,,0,1,1,3.93,1.0,0.04195,0.014789,-0.073566,1.788749,0.5556,0.15659,0.11556,-0.906473,-0.447902,False
79,1789220022.901,29.712,left_only,0.7066,2.5671,-0.2813,0.319,-0.06209,1,2.567,2.567,-0.281,-0.281,2.567:-0.281:0.0056:-0.0621,True,2.5671,-0.3032,,0,1,1,,1.0,0.05062,-0.058719,0.348255,1.210495,,,,,,False
80,1789220023.0,29.696,left_only,0.707,2.6021,-0.2903,0.917,-0.07932,1,2.602,2.602,-0.29,-0.29,2.602:-0.290:0.0160:-0.0793,True,2.6021,-0.3031,,0,1,1,,1.0,0.05046,-0.05981,0.3567,1.195108,,,,,,False
81,1789220023.105,34.791,left_only,0.7024,2.6232,-0.2943,1.147,-0.08944,1,2.623,2.623,-0.294,-0.294,2.623:-0.294:0.0200:-0.0894,True,2.6232,-0.2998,,0,1,1,,1.0,0.05208,-0.056588,0.330146,1.249053,,,,,,False
82,1789220023.203,33.314,left_only,0.7086,2.6466,-0.2988,1.475,-0.09901,1,2.647,2.647,-0.299,-0.299,2.647:-0.299:0.0257:-0.0990,True,2.6466,-0.3023,,0,1,1,,1.0,0.04991,-0.060765,0.365665,1.177573,,,,,,False
83,1789220023.304,34.26,left_only,0.6685,2.6709,-0.3079,2.118,-0.10457,1,2.671,2.671,-0.308,-0.308,2.671:-0.308:0.0370:-0.1046,True,2.6709,-0.3143,,0,1,1,,0.6667,0.06406,-0.05901,0.383996,1.094763,,,,,,False
84,1789220023.4,30.973,both,0.5184,2.5099,-0.2561,-1.575,-0.02636,1,2.51,2.51,-0.256,-0.256,2.510:-0.256:-0.0275:-0.0264,True,2.5099,-0.206,,0,1,1,3.89,1.0,0.07235,0.04521,-0.34892,2.357516,0.5556,0.15291,0.11132,-0.871397,-0.517332,False
85,1789220023.504,34.575,left_only,0.7068,2.5482,-0.274,-0.303,-0.05355,1,2.548,2.548,-0.274,-0.274,2.548:-0.274:-0.0053:-0.0536,True,2.5482,-0.3028,,0,1,1,,1.0,0.05054,-0.058474,0.346909,1.212693,,,,,,False
86,1789220023.605,36.138,left_only,0.7055,2.5833,-0.2847,0.424,-0.07219,1,2.583,2.583,-0.285,-0.285,2.583:-0.285:0.0074:-0.0722,True,2.5833,-0.3021,,0,1,1,,1.0,0.05102,-0.057846,0.34024,1.227817,,,,,,False
87,1789220023.705,35.576,left_only,0.6366,2.6099,-0.2988,1.325,-0.07942,1,2.61,2.61,-0.299,-0.299,2.610:-0.299:0.0231:-0.0794,True,2.6099,-0.3144,,0,1,1,,0.6667,0.07532,-0.048243,0.316119,1.201428,,,,,,False
88,1789220023.804,34.48,left_only,0.6593,2.6388,-0.3088,1.985,-0.0888,1,2.639,2.639,-0.309,-0.309,2.639:-0.309:0.0346:-0.0888,True,2.6388,-0.3166,,0,1,1,,0.6667,0.0673,-0.055532,0.360038,1.133097,,,,,,False
89,1789220023.907,36.571,left_only,0.7047,2.6566,-0.3083,2.004,-0.09821,1,2.657,2.657,-0.308,-0.308,2.657:-0.308:0.0350:-0.0982,True,2.6566,-0.3021,,0,1,1,,1.0,0.05129,-0.060196,0.35931,1.191769,,,,,,False
90,1789220024.007,36.783,left_only,0.703,2.6644,-0.3071,1.918,-0.10318,1,2.664,2.664,-0.307,-0.307,2.664:-0.307:0.0335:-0.1032,True,2.6644,-0.3007,,0,1,1,,1.0,0.05189,-0.057467,0.337972,1.232612,,,,,,False
91,1789220024.107,35.879,left_only,0.7109,2.6731,-0.3071,1.916,-0.10764,1,2.673,2.673,-0.307,-0.307,2.673:-0.307:0.0334:-0.1076,True,2.6731,-0.3025,,0,1,1,,1.0,0.04908,-0.059132,0.351568,1.205017,,,,,,False
92,1789220024.207,36.736,left_only,0.665,2.6898,-0.3141,2.417,-0.11031,1,2.69,2.69,-0.314,-0.314,2.690:-0.314:0.0422:-0.1103,True,2.6898,-0.3168,,0,1,1,,0.6667,0.0653,-0.058537,0.38176,1.094753,,,,,,False
93,1789220024.306,36.968,left_only,0.6491,2.6749,-0.3176,2.428,-0.10236,1,2.675,2.675,-0.318,-0.318,2.675:-0.318:0.0424:-0.1024,True,2.6749,-0.3158,,0,1,1,,0.6667,0.0709,-0.042027,0.263864,1.300802,,,,,,False
94,1789220024.408,37.032,left_only,0.7051,2.6798,-0.3139,2.251,-0.10694,1,2.68,2.68,-0.314,-0.314,2.680:-0.314:0.0393:-0.1069,True,2.6798,-0.3012,,0,1,1,,1.0,0.05115,-0.058897,0.348914,1.212178,,,,,,False
95,1789220024.51,39.731,left_only,0.7142,2.6845,-0.3119,2.154,-0.11046,1,2.685,2.685,-0.312,-0.312,2.685:-0.312:0.0376:-0.1105,True,2.6845,-0.3027,,0,1,1,,1.0,0.04794,-0.059439,0.353983,1.20032,,,,,,False
96,1789220024.609,38.258,left_only,0.6431,2.6669,-0.3168,2.302,-0.09958,1,2.667,2.667,-0.317,-0.317,2.667:-0.317:0.0402:-0.0996,True,2.6669,-0.3169,,0,1,1,,0.6667,0.07303,-0.037234,0.240282,1.327393,,,,,,False
