event,request_id,mission_id,mission_type,source_zone_id,time_ns,position_valid,x,y,track_index,speed_valid,actual_speed,zone_id,travel_distance,elapsed_s,cancel_reason
zone_entry,1789220819701401196,0,1,2,1789220819701401196,1,-29.9850311009553,-30.720609332970525,147,1,0.99729037284851074,2,0,0,0
search_start,1789220819701401196,0,1,2,1789220819751428905,1,-29.9850311009553,-30.720609332970525,147,1,0.99765956401824951,2,0.049923285286856953,0.050027703,0
cancel,1789220819701401196,0,1,2,1789220821001412181,1,-30.767197972436662,-31.703936000318436,152,1,0.9961211085319519,0,1.289463899461573,1.300010978,9
zone_entry,1789220874701412104,1,2,5,1789220874701412104,1,-63.544417224743071,-66.658415999865213,165,1,0.99290883541107178,5,0,0,0
search_start,1789220874701412104,1,2,5,1789220874751425102,1,-63.544417224743071,-66.658415999865213,165,1,0.99237567186355591,5,0.049659738824120586,0.050012987000000002,0
cancel,1789220874701412104,1,2,5,1789220876001422729,1,-64.341341960418262,-67.604635999849165,170,1,0.99944299459457397,4,1.280767711750137,1.3000105930000001,9
