tick,t,gps_x,gps_y,gps_position_valid,cross,gps_yaw_error,gps_heading_valid,gps_valid,lidar_valid,lane_conf,go,v,v_valid,obstacle,avoidable,done,avoid_n,avoid_age,avoid_timeout,gps_n,estop,auto_estop,avoid_zone,gps_only_zone,top,nav,avoid,safety,source,v_ref,ref_valid,ref_fresh,ref_age,blocked,route_index,route_connecting,gps_point_x,gps_point_y,gps_point_yaw,gps_point_curvature,avoid_point_x,avoid_point_y,avoid_point_yaw,avoid_point_curvature,target_point_x,target_point_y,target_point_yaw,target_point_curvature,target_n
0,1789471098.531116,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1789471098.540465,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1789471098.550465,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1789471098.560462,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1789471098.570462,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1789471098.580464,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1789471098.590463,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1789471098.60047,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1789471098.610464,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1789471098.620468,0,0,0,0,0,0,0,0,0,0,-3.289663573624179e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
