tick,t,gps_x,gps_y,gps_position_valid,cross,gps_yaw_error,gps_heading_valid,gps_valid,lidar_valid,lane_conf,go,v,v_valid,obstacle,avoidable,done,avoid_n,avoid_age,avoid_timeout,gps_n,estop,auto_estop,avoid_zone,gps_only_zone,top,nav,avoid,safety,source,v_ref,ref_valid,ref_fresh,ref_age,blocked,route_index,route_connecting,gps_point_x,gps_point_y,gps_point_yaw,gps_point_curvature,avoid_point_x,avoid_point_y,avoid_point_yaw,avoid_point_curvature,target_point_x,target_point_y,target_point_yaw,target_point_curvature,target_n
0,1789471501.844012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1789471501.853426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1789471501.863428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1789471501.873427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1789471501.883432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1789471501.893426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1789471501.90353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1789471501.913409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1789471501.923403,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1789471501.935424,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1789471501.943407,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1789471501.953398,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1789471501.963434,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1789471501.973411,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1789471501.983414,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1789471501.993404,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1789471502.003422,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1789471502.01371,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1789471502.024292,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,1789471502.034533,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1789471502.04341,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,1789471502.053916,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1789471502.063432,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1789471502.075491,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1789471502.083428,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1789471502.093531,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1789471502.103669,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1789471502.113462,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,1789471502.124969,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,1789471502.13343,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,1789471502.14393,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1789471502.153518,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1789471502.168397,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1789471502.174692,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1789471502.184711,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,1789471502.193415,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1789471502.203413,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,1789471502.213408,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,1789471502.223403,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,1789471502.233407,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,1789471502.243412,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,1789471502.25341,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,1789471502.263417,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,1789471502.273427,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1789471502.283423,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,1789471502.293424,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1789471502.303425,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,1789471502.314857,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1789471502.323427,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,1789471502.333977,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,1789471502.343377,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,1789471502.353418,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,1789471502.363419,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,1789471502.373427,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1789471502.383452,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1789471502.39343,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,1789471502.403421,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,1789471502.413457,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,1789471502.423431,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,1789471502.433442,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,1789471502.443416,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,1789471502.453428,0,0,0,0,0,0,0,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,1789471502.463424,-2.948621524640715,-2.352562666738436,1,0.4216139614582062,-5.629868610412814e-05,0,1,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,1,1,0,0,0,0,1,0,0,1,0,1,1,0.1057593077421188,0,0,0,2.499696493148804,0.4218000471591949,-0.0002751685969997197,0.0001676075626164675,0,0,0,0,0.2272450625896454,0.03834544867277145,-2.501531889720354e-05,1.523704668215942e-05,1
63,1789471502.473443,-2.948621524640715,-2.352562666738436,1,0.4216139614582062,-5.629868610412814e-05,0,1,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,1,1,0,0,0,0,1,0,0,1,0,1,1,0.1157780513167381,0,0,0,2.499696493148804,0.4218000471591949,-0.0002751685969997197,0.0001676075626164675,0,0,0,0,0.4544902741909027,0.0766909196972847,-5.003065598430112e-05,3.047410245926585e-05,1
64,1789471502.483489,-2.948621524640715,-2.352562666738436,1,0.4216139614582062,-5.629868610412814e-05,0,1,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,1,1,0,0,0,0,1,0,0,1,0,1,1,0.1258242875337601,0,0,0,2.499696493148804,0.4218000471591949,-0.0002751685969997197,0.0001676075626164675,0,0,0,0,0.6817353367805481,0.1150363683700562,-7.504597306251526e-05,4.571114914142527e-05,1
65,1789471502.493467,-2.948621524640715,-2.352562666738436,1,0.4216139614582062,-5.629868610412814e-05,0,1,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,1,1,0,0,0,0,1,0,0,1,0,1,1,0.1358022540807724,0,0,0,2.499696493148804,0.4218000471591949,-0.0002751685969997197,0.0001676075626164675,0,0,0,0,0.9089805483818054,0.1533818393945694,-0.0001000613119686022,6.09482049185317e-05,1
66,1789471502.503497,-2.948621524640715,-2.352562666738436,1,0.4216139614582062,-5.629868610412814e-05,0,1,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,1,1,0,0,0,0,1,0,0,1,0,1,1,0.1458318680524826,0,0,0,2.499696493148804,0.4218000471591949,-0.0002751685969997197,0.0001676075626164675,0,0,0,0,1.136225581169128,0.1917272806167603,-0.000125076636322774,7.618524978170171e-05,1
67,1789471502.513421,-2.948621524640715,-2.352562666738436,1,0.4216139614582062,-5.629868610412814e-05,0,1,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,1,1,0,0,0,0,1,0,0,1,0,1,1,0.155756950378418,0,0,0,2.499696493148804,0.4218000471591949,-0.0002751685969997197,0.0001676075626164675,0,0,0,0,1.363470673561096,0.2300727367401123,-0.0001500919461250305,9.142229828285053e-05,1
68,1789471502.52343,-2.948621524640715,-2.352562666738436,1,0.4216139614582062,-5.629868610412814e-05,0,1,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,1,1,0,0,0,0,1,0,0,1,0,1,1,0.1657650321722031,0,0,0,2.499696493148804,0.4218000471591949,-0.0002751685969997197,0.0001676075626164675,0,0,0,0,1.590715885162354,0.2684181928634644,-0.0001751072850311175,0.000106659354059957,1
69,1789471502.533462,-2.948621524640715,-2.352562666738436,1,0.4216139614582062,-5.629868610412814e-05,0,1,0,0,0,-4.531849460992108e-15,1,0,0,0,0,-1,0.5,1,1,0,0,0,0,1,0,0,1,0,1,1,0.1757975071668625,0,0,0,2.499696493148804,0.4218000471591949,-0.0002751685969997197,0.0001676075626164675,0,0,0,0,1.817961096763611,0.3067636787891388,-0.0002001226239372045,0.0001218964098370634,1
