tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,auto_estop,estop,parking_valid,parking_wall_complete,parking_ready,parking_search,parking_request_id,traffic_fail_safe,avoid_x,avoid_y,avoid_yaw,avoid_k,gps_x,gps_y,gps_heading_valid,rear_clear,red,green,traffic_stop_required
0,1789388655161743492,41554214283766,0,0,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1789388655171702316,41554224242590,0,0,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1789388655181725860,41554234266134,0,0,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1789388655191708110,41554244248379,0,0,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1789388655202420465,41554254960738,0,0,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1789388655212018485,41554264558742,0,0,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1789388655221777520,41554274317793,0.0001692017686,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1789388655231696588,41554284236862,8.003416042e-06,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1789388655245583378,41554298123653,-0.0001857468305,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1789388655251687103,41554304227377,-0.0001596597285,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1789388655264491313,41554317031586,2.323182707e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1789388655271686895,41554324227175,0.0001757099963,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1789388655281695562,41554334235837,0.0002434309426,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1789388655291704977,41554344245253,0.0002249562676,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1789388655301703159,41554354243432,3.748918289e-06,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1789388655316491208,41554369031481,-0.0001301868178,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1789388655321700280,41554374240555,-0.0001479934581,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1789388655331702203,41554384242479,3.907296923e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1789388655341705637,41554394245911,8.438927034e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1789388655351690204,41554404230480,0.0001451275311,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1789388655361686138,41554414226412,2.343888264e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1789388655371693032,41554424233306,3.005543294e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1789388655381701641,41554434241914,-4.338037979e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1789388655391697578,41554444237853,-5.44868999e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1789388655401683982,41554454224259,2.451358523e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1789388655411704323,41554464244598,9.651885193e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1789388655421694262,41554474234430,2.428806874e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1789388655431702080,41554484242337,2.510126615e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1789388655441700311,41554494240584,5.237124424e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1789388655455261128,41554507801397,8.602564048e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1789388655461703011,41554514243285,8.602564048e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1789388655471693320,41554524233597,0.0001235483505,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1789388655481699926,41554534240202,0.000166427315,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1789388655496150146,41554548690419,-5.061382035e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1789388655501702116,41554554242392,-5.061382035e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1789388655511837387,41554564377640,-2.597856837e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1789388655521696728,41554574237002,1.097804034e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1789388655531704775,41554584245032,1.097804034e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1789388655541700857,41554594241132,0.0001761285384,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1789388655551702422,41554604242695,2.834725819e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1789388655561702065,41554614242340,-9.067575593e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1789388655571699222,41554624239496,-0.000173332126,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1789388655581703116,41554634243389,-6.207386468e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1789388655591715707,41554644255968,-2.641011815e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1789388655601730702,41554654270970,4.874323349e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1789388655611696420,41554664236696,0.0001247983018,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1789388655621685118,41554674225398,4.896471e-05,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1789388655631682114,41554684222380,-0.0001499479113,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
