tick,event_time_ns,gps_x,gps_y,gps_position_valid,gps_track_index,vehicle_speed,vehicle_speed_valid,lane_confidence,gps_cross_track,gps_station_yaw_error,gps_heading_valid,avoid_obstacle_detected,avoid_avoidable,avoid_narrow_gap,avoid_maneuver_done,avoid_v_suggest,avoid_ttc,parking_v_suggest,parking_done,parking_path_blocked,traffic_red_active,traffic_green_active,traffic_stopline_detected,traffic_stop_distance,autonomous_enabled,external_stop,camera_available,gps_fixed_ready,lidar_valid,gps_fix_quality,sensor_alive_mask,front_clearance_m,left_clearance_m,right_clearance_m,lane_age_s,lane_timeout_s,gps_age_s,gps_timeout_s,avoid_age_s,avoid_timeout_s,parking_age_s,parking_timeout_s,recovery_age_s,recovery_timeout_s,avoid_points
20,1789733900096754870,0,0,0,-1,-0.00026886851992458,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
21,1789733900108144803,0,0,0,-1,-6.5749023633543e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
22,1789733900116756242,0,0,0,-1,0.00017035260680132,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
23,1789733900126783637,0,0,0,-1,0.00017035260680132,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
24,1789733900136795882,0,0,0,-1,0.00019517295004334,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
25,1789733900146740714,0,0,0,-1,4.1208102629753e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
26,1789733900157546637,0,0,0,-1,-0.00022621224343311,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
27,1789733900166903658,0,0,0,-1,-0.00022621224343311,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
28,1789733900176768071,0,0,0,-1,-0.00027480718563311,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
29,1789733900187557171,0,0,0,-1,6.0609589127125e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
30,1789733900197132393,0,0,0,-1,6.0609589127125e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
31,1789733900208242260,0,0,0,-1,6.3242412579712e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
32,1789733900226053689,0,0,0,-1,-0.00022083176008891,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
33,1789733900228304909,0,0,0,-1,-0.00022083176008891,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
34,1789733900239541139,0,0,0,-1,-0.00026795838493854,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
35,1789733900247207278,0,0,0,-1,2.2711681140208e-06,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
36,1789733900258066432,0,0,0,-1,7.9068297054619e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
37,1789733900268611868,0,0,0,-1,0.00012935764971189,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
38,1789733900276735861,0,0,0,-1,1.6666901501594e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
39,1789733900286744522,0,0,0,-1,-0.00020454839977901,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
40,1789733900305129654,0,0,0,-1,-5.1738501497312e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
41,1789733900306753374,0,0,0,-1,-5.1738501497312e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
42,1789733900318104650,0,0,0,-1,0.00019562436500564,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
43,1789733900326747653,0,0,0,-1,0.00024904744350351,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
44,1789733900337478236,0,0,0,-1,0.00018941436428577,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
45,1789733900346689873,0,0,0,-1,-4.7672674554633e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
46,1789733900356737693,0,0,0,-1,-0.00032518341322429,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
47,1789733900367035733,0,0,0,-1,-0.00038075787597336,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
