stamp_s,lat,lon,quality,idx,cross_track_m,at_end,fix_age_s,heading_deg,heading_src,imu_yaw_deg,offset_deg,go,route_index,route_id,sequence_id,route_connecting,station_m,station_window_low_m,station_window_high_m,station_v_ref,station_sample_time_s,preview_requested_station_m,preview_station_m,preview_index,preview_snapped
1789733903.263,37.3037523,127.9070272,4,78,0.274,0,0.067,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733903.364,37.3037523,127.9070272,4,78,0.274,0,0.043,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733903.464,37.3037523,127.9070272,4,78,0.274,0,0.018,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733903.563,37.3037523,127.9070272,4,78,0.274,0,0.118,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733903.663,37.3037523,127.9070272,4,78,0.274,0,0.093,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733903.764,37.3037523,127.9070273,4,78,0.263,0,0.068,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733903.863,37.3037523,127.9070272,4,78,0.274,0,0.038,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733903.963,37.3037523,127.9070273,4,78,0.263,0,0.023,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733904.064,37.3037523,127.9070273,4,78,0.263,0,0.124,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733904.164,37.3037523,127.9070273,4,78,0.263,0,0.078,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.837546,19.837546,0.000000,0.100000,21.837546,21.837546,88,0
