start_s,end_s,state,x,y,idx
0.0,9.457464456558228,출발 대기,0.0,0.0,-1
9.457464456558228,9.507431030273438,회피 ref 정지,-13.486150917458,-13.86287626524,78
9.507431030273438,14.307488679885864,회피 주행,-13.500908841281,-13.86287626524,78
14.307488679885864,65.1074492931366,회피 ref 정지,-14.297836730238,-14.790542931937,83
65.1074492931366,65.20750641822815,회피 주행,-14.8143640653,-15.328589598827,86
65.20750641822815,65.60747003555298,회피 ref 정지,-14.8143640653,-15.328589598827,86
65.60747003555298,85.20750308036804,회피 주행,-14.8143640653,-15.328589598827,86
85.20750308036804,85.40748572349548,회피 ref 정지,-14.8143640653,-15.328589598827,86
85.40748572349548,120.60748362541199,회피 주행,-14.8143640653,-15.328589598827,86
120.60748362541199,148.95751357078552,회피 ref 정지,-33.615959062307,-36.460836265136,199
