idx,utc,lat,lon,height_m,east_m,north_m,quality
677,041855.25,37.2886895,127.1068850,113.300,-67.885,-31.485,4
678,041855.75,37.2886897,127.1068803,113.300,-68.298,-31.466,4
679,041856.12,37.2886892,127.1068768,113.300,-68.608,-31.522,4
680,041856.50,37.2886880,127.1068735,113.300,-68.904,-31.652,4
681,041856.87,37.2886872,127.1068702,113.300,-69.199,-31.745,4
682,041857.25,37.2886865,127.1068665,113.300,-69.524,-31.819,4
683,041857.62,37.2886857,127.1068632,113.300,-69.819,-31.912,4
684,041858.00,37.2886848,127.1068598,113.300,-70.114,-32.004,4
685,041858.37,37.2886842,127.1068562,113.300,-70.439,-32.079,4
686,041858.75,37.2886833,127.1068528,113.300,-70.734,-32.171,4
687,041859.12,37.2886828,127.1068493,113.300,-71.044,-32.227,4
688,041859.50,37.2886820,127.1068458,113.300,-71.354,-32.320,4
689,041859.87,37.2886813,127.1068425,113.300,-71.649,-32.394,4
690,041900.25,37.2886807,127.1068392,113.300,-71.944,-32.468,4
691,041900.62,37.2886800,127.1068357,113.300,-72.254,-32.543,4
692,041901.00,37.2886793,127.1068320,113.300,-72.579,-32.617,4
693,041901.37,37.2886788,127.1068285,113.300,-72.889,-32.672,4
694,041901.75,37.2886788,127.1068248,113.200,-73.214,-32.672,4
695,041902.12,37.2886793,127.1068213,113.200,-73.524,-32.617,4
696,041902.50,37.2886800,127.1068178,113.200,-73.834,-32.543,4
697,041902.87,37.2886805,127.1068143,113.200,-74.144,-32.487,4
698,041903.37,37.2886812,127.1068100,113.200,-74.528,-32.413,4
699,041903.87,37.2886823,127.1068057,113.200,-74.911,-32.283,4
700,041904.37,37.2886840,127.1068017,113.200,-75.266,-32.097,4
701,041904.75,37.2886855,127.1067988,113.200,-75.517,-31.930,4
702,041905.12,37.2886868,127.1067958,113.200,-75.782,-31.782,4
703,041905.62,37.2886888,127.1067923,113.200,-76.092,-31.559,4
704,041906.00,37.2886908,127.1067898,113.200,-76.314,-31.337,4
705,041906.37,37.2886930,127.1067875,113.200,-76.520,-31.095,4
706,041906.87,37.2886957,127.1067843,113.200,-76.801,-30.799,4
707,041907.25,37.2886977,127.1067820,113.200,-77.007,-30.576,4
708,041907.62,37.2886998,127.1067797,113.200,-77.214,-30.335,4
709,041908.00,37.2887018,127.1067773,113.200,-77.421,-30.112,4
710,041908.37,37.2887040,127.1067747,113.300,-77.657,-29.871,4
711,041908.75,37.2887062,127.1067722,113.200,-77.878,-29.630,4
712,041909.12,37.2887082,127.1067697,113.200,-78.100,-29.407,4
713,041909.50,37.2887100,127.1067672,113.200,-78.321,-29.203,4
714,041909.87,37.2887123,127.1067648,113.200,-78.528,-28.943,4
715,041910.25,37.2887148,127.1067632,113.200,-78.675,-28.665,4
716,041910.62,37.2887173,127.1067617,113.200,-78.808,-28.387,4
717,041911.00,37.2887200,127.1067598,113.200,-78.971,-28.090,4
718,041911.50,37.2887233,127.1067577,113.200,-79.162,-27.719,4
719,041911.87,37.2887258,127.1067562,113.200,-79.295,-27.440,4
720,041912.25,37.2887285,127.1067550,113.200,-79.399,-27.144,4
721,041912.62,37.2887312,127.1067538,113.200,-79.502,-26.847,4
722,041913.00,37.2887338,127.1067525,113.200,-79.620,-26.550,4
723,041913.37,37.2887365,127.1067518,113.100,-79.679,-26.253,4
724,041913.75,37.2887393,127.1067510,113.100,-79.753,-25.938,4
725,041914.12,37.2887423,127.1067505,113.100,-79.797,-25.604,4
726,041914.62,37.2887460,127.1067505,113.200,-79.797,-25.195,4
727,041915.12,37.2887497,127.1067507,113.200,-79.782,-24.787,4
728,041915.50,37.2887525,127.1067507,113.200,-79.782,-24.472,4
729,041915.87,37.2887552,127.1067502,113.200,-79.827,-24.175,4
730,041916.25,37.2887580,127.1067502,113.100,-79.827,-23.860,4
731,041916.62,37.2887608,127.1067500,113.100,-79.841,-23.544,4
732,041917.12,37.2887643,127.1067500,113.100,-79.841,-23.155,4
733,041917.62,37.2887678,127.1067500,113.100,-79.841,-22.765,4
734,041918.00,37.2887705,127.1067505,113.200,-79.797,-22.468,4
735,041918.50,37.2887740,127.1067508,113.200,-79.768,-22.078,4
736,041918.87,37.2887768,127.1067512,113.200,-79.738,-21.763,4
737,041919.37,37.2887805,127.1067513,113.200,-79.723,-21.355,4
738,041919.75,37.2887832,127.1067522,113.200,-79.650,-21.058,4
739,041920.12,37.2887860,127.1067523,113.200,-79.635,-20.743,4
740,041920.50,37.2887888,127.1067537,113.200,-79.517,-20.427,4
741,041920.87,37.2887913,127.1067552,113.200,-79.384,-20.149,4
742,041921.37,37.2887945,127.1067573,113.200,-79.192,-19.796,4
743,041921.75,37.2887972,127.1067587,113.200,-79.074,-19.500,4
744,041922.12,37.2887997,127.1067600,113.200,-78.956,-19.221,4
745,041922.50,37.2888022,127.1067617,113.200,-78.808,-18.943,4
746,041922.87,37.2888047,127.1067633,113.200,-78.661,-18.665,4
747,041923.37,37.2888077,127.1067657,113.200,-78.454,-18.331,4
748,041923.75,37.2888098,127.1067678,113.200,-78.262,-18.090,4
749,041924.25,37.2888118,127.1067715,113.200,-77.937,-17.867,4
750,041924.62,37.2888132,127.1067745,113.200,-77.672,-17.718,4
751,041925.00,37.2888145,127.1067775,113.200,-77.406,-17.570,4
752,041925.37,37.2888155,127.1067808,113.200,-77.111,-17.459,4
753,041925.75,37.2888162,127.1067842,113.200,-76.815,-17.384,4
754,041926.12,37.2888167,127.1067877,113.100,-76.505,-17.329,4
755,041926.50,37.2888172,127.1067912,113.100,-76.195,-17.273,4
756,041926.87,37.2888177,127.1067945,113.100,-75.900,-17.217,4
757,041927.25,37.2888180,127.1067980,113.200,-75.590,-17.180,4
758,041927.62,37.2888183,127.1068015,113.200,-75.280,-17.143,4
759,041928.00,37.2888185,127.1068050,113.200,-74.970,-17.125,4
760,041928.37,37.2888185,127.1068085,113.200,-74.660,-17.125,4
761,041928.75,37.2888185,127.1068120,113.200,-74.350,-17.125,4
762,041929.12,37.2888185,127.1068157,113.200,-74.026,-17.125,4
763,041929.62,37.2888183,127.1068202,113.200,-73.627,-17.143,4
764,041930.00,37.2888182,127.1068237,113.200,-73.317,-17.162,4
765,041930.37,37.2888178,127.1068272,113.200,-73.007,-17.199,4
766,041930.75,37.2888173,127.1068307,113.200,-72.697,-17.255,4
767,041931.12,37.2888163,127.1068340,113.200,-72.402,-17.366,4
768,041931.50,37.2888155,127.1068373,113.200,-72.107,-17.459,4
769,041931.87,37.2888148,127.1068408,113.200,-71.797,-17.533,4
770,041932.25,37.2888142,127.1068443,113.200,-71.487,-17.607,4
771,041932.62,37.2888133,127.1068477,113.200,-71.192,-17.700,4
772,041933.00,37.2888127,127.1068512,113.200,-70.882,-17.774,4
773,041933.37,37.2888120,127.1068547,113.200,-70.572,-17.848,4
774,041933.87,37.2888108,127.1068590,113.200,-70.188,-17.978,4
775,041934.25,37.2888100,127.1068625,113.200,-69.878,-18.071,4
776,041934.62,37.2888093,127.1068658,113.200,-69.583,-18.145,4
777,041935.00,37.2888085,127.1068692,113.200,-69.287,-18.238,4
778,041935.37,37.2888078,127.1068725,113.200,-68.992,-18.312,4
779,041935.75,37.2888070,127.1068760,113.200,-68.682,-18.405,4
780,041936.12,37.2888063,127.1068795,113.200,-68.372,-18.479,4
781,041936.50,37.2888055,127.1068828,113.200,-68.077,-18.572,4
782,041936.87,37.2888048,127.1068862,113.200,-67.782,-18.646,4
783,041937.25,37.2888040,127.1068897,113.200,-67.472,-18.739,4
784,041937.62,37.2888033,127.1068932,113.200,-67.162,-18.813,4
785,041938.00,37.2888025,127.1068965,113.200,-66.867,-18.906,4
786,041938.37,37.2888018,127.1069000,113.200,-66.557,-18.980,4
787,041938.75,37.2888012,127.1069033,113.200,-66.261,-19.054,4
788,041939.12,37.2888003,127.1069068,113.200,-65.951,-19.147,4
789,041939.50,37.2887997,127.1069102,113.200,-65.656,-19.221,4
790,041939.87,37.2887988,127.1069135,113.200,-65.361,-19.314,4
791,041940.25,37.2887982,127.1069170,113.200,-65.051,-19.388,4
792,041940.62,37.2887973,127.1069203,113.200,-64.756,-19.481,4
793,041941.00,37.2887963,127.1069237,113.200,-64.461,-19.592,4
794,041941.37,37.2887953,127.1069270,113.200,-64.165,-19.704,4
795,041941.75,37.2887942,127.1069302,113.200,-63.885,-19.834,4
796,041942.12,37.2887933,127.1069335,113.200,-63.590,-19.926,4
797,041942.50,37.2887923,127.1069368,113.200,-63.295,-20.038,4
798,041942.87,37.2887913,127.1069402,113.200,-62.999,-20.149,4
799,041943.25,37.2887903,127.1069435,113.200,-62.704,-20.260,4
800,041943.62,37.2887893,127.1069468,113.200,-62.409,-20.372,4
801,041944.00,37.2887883,127.1069502,113.200,-62.114,-20.483,4
802,041944.37,37.2887873,127.1069535,113.200,-61.818,-20.594,4
803,041944.75,37.2887863,127.1069568,113.200,-61.523,-20.706,4
804,041945.12,37.2887853,127.1069602,113.200,-61.228,-20.817,4
805,041945.50,37.2887843,127.1069633,113.200,-60.948,-20.928,4
806,041945.87,37.2887835,127.1069667,113.200,-60.652,-21.021,4
807,041946.25,37.2887825,127.1069700,113.200,-60.357,-21.132,4
808,041946.62,37.2887815,127.1069732,113.200,-60.077,-21.244,4
809,041947.00,37.2887805,127.1069765,113.200,-59.781,-21.355,4
810,041947.37,37.2887797,127.1069798,113.200,-59.486,-21.448,4
811,041947.75,37.2887787,127.1069832,113.200,-59.191,-21.559,4
812,041948.12,37.2887777,127.1069865,113.200,-58.896,-21.670,4
813,041948.50,37.2887767,127.1069898,113.200,-58.601,-21.782,4
814,041948.87,37.2887758,127.1069932,113.200,-58.305,-21.874,4
815,041949.25,37.2887748,127.1069965,113.200,-58.010,-21.986,4
816,041949.62,37.2887740,127.1069998,113.200,-57.715,-22.078,4
817,041950.12,37.2887728,127.1070042,113.200,-57.331,-22.208,4
