"idx","lat","lon","east_m","north_m","yaw_rad","yaw_deg","s_m","segment_type","zone_id","inside_zone","parking_mode","drive_mode"
"0","37.30413351","127.90748153","-4.545000","-4.527000","-2.325110492","-133.219018","0.000000","STRAIGHT","0","0","none","mission"
"1","37.30413188","127.90747961","-4.715251","-4.708179","-2.325110492","-133.219018","0.248619","STRAIGHT","0","0","none","mission"
"2","37.30413025","127.90747769","-4.885503","-4.889358","-2.325110492","-133.219018","0.497238","STRAIGHT","0","0","none","mission"
"3","37.30412861","127.90747577","-5.055754","-5.070536","-2.325110492","-133.219018","0.745856","STRAIGHT","0","0","none","mission"
"4","37.30412698","127.90747385","-5.226006","-5.251715","-2.325110492","-133.219018","0.994475","STRAIGHT","0","0","none","mission"
"5","37.30412535","127.90747193","-5.396257","-5.432894","-2.325110492","-133.219018","1.243094","STRAIGHT","0","0","none","mission"
"6","37.30412372","127.90747001","-5.566508","-5.614073","-2.325110492","-133.219018","1.491713","STRAIGHT","0","0","none","mission"
"7","37.30412208","127.90746809","-5.736760","-5.795251","-2.325110492","-133.219018","1.740331","STRAIGHT","0","0","none","mission"
"8","37.30412045","127.90746617","-5.907011","-5.976430","-2.325110492","-133.219018","1.988950","STRAIGHT","0","0","none","mission"
"9","37.30411882","127.90746425","-6.077263","-6.157609","-2.325110492","-133.219018","2.237569","STRAIGHT","0","0","none","mission"
"10","37.30411719","127.90746233","-6.247514","-6.338788","-2.325110492","-133.219018","2.486188","STRAIGHT","0","0","none","mission"
"11","37.30411555","127.90746041","-6.417765","-6.519966","-2.325110492","-133.219018","2.734806","STRAIGHT","0","0","none","mission"
"12","37.30411392","127.90745849","-6.588017","-6.701145","-2.325110492","-133.219018","2.983425","STRAIGHT","0","0","none","mission"
"13","37.30411229","127.90745657","-6.758268","-6.882324","-2.325110492","-133.219018","3.232044","STRAIGHT","0","0","none","mission"
"14","37.30411066","127.90745465","-6.928520","-7.063503","-2.325110492","-133.219018","3.480663","STRAIGHT","0","0","none","mission"
"15","37.30410902","127.90745273","-7.098771","-7.244682","-2.325110492","-133.219018","3.729281","STRAIGHT","0","0","none","mission"
"16","37.30410739","127.90745081","-7.269022","-7.425860","-2.325110492","-133.219018","3.977900","STRAIGHT","0","0","none","mission"
"17","37.30410576","127.90744889","-7.439274","-7.607039","-2.325110492","-133.219018","4.226519","STRAIGHT","0","0","none","mission"
"18","37.30410413","127.90744697","-7.609525","-7.788218","-2.325110492","-133.219018","4.475138","STRAIGHT","0","0","none","mission"
"19","37.30410249","127.90744505","-7.779777","-7.969397","-2.325110492","-133.219018","4.723756","STRAIGHT","0","0","none","mission"
"20","37.30410086","127.90744313","-7.950028","-8.150575","-2.325110492","-133.219018","4.972375","STRAIGHT","0","0","none","mission"
"21","37.30409923","127.90744121","-8.120279","-8.331754","-2.325110492","-133.219018","5.220994","STRAIGHT","0","0","none","mission"
"22","37.30409760","127.90743929","-8.290531","-8.512933","-2.325110492","-133.219018","5.469613","STRAIGHT","0","0","none","mission"
"23","37.30409596","127.90743737","-8.460782","-8.694112","-2.325110492","-133.219018","5.718231","STRAIGHT","0","0","none","mission"
"24","37.30409433","127.90743545","-8.631034","-8.875291","-2.325110492","-133.219018","5.966850","STRAIGHT","0","0","none","mission"
"25","37.30409270","127.90743353","-8.801285","-9.056469","-2.325110492","-133.219018","6.215469","STRAIGHT","0","0","none","mission"
"26","37.30409107","127.90743160","-8.971536","-9.237648","-2.325110492","-133.219018","6.464088","STRAIGHT","0","0","none","mission"
"27","37.30408943","127.90742968","-9.141788","-9.418827","-2.325110492","-133.219018","6.712706","STRAIGHT","0","0","none","mission"
"28","37.30408780","127.90742776","-9.312039","-9.600006","-2.325110492","-133.219018","6.961325","STRAIGHT","3","1","none","mission"
"29","37.30408617","127.90742584","-9.482291","-9.781184","-2.325110492","-133.219018","7.209944","STRAIGHT","3","1","none","mission"
"30","37.30408454","127.90742392","-9.652542","-9.962363","-2.325110492","-133.219018","7.458563","STRAIGHT","3","1","none","mission"
"31","37.30408290","127.90742200","-9.822793","-10.143542","-2.325110492","-133.219018","7.707181","STRAIGHT","3","1","none","mission"
"32","37.30408127","127.90742008","-9.993045","-10.324721","-2.325110492","-133.219018","7.955800","STRAIGHT","3","1","none","mission"
"33","37.30407964","127.90741816","-10.163296","-10.505899","-2.325110492","-133.219018","8.204419","STRAIGHT","3","1","none","mission"
"34","37.30407801","127.90741624","-10.333547","-10.687078","-2.325110492","-133.219018","8.453038","STRAIGHT","3","1","none","mission"
"35","37.30407637","127.90741432","-10.503799","-10.868257","-2.325110492","-133.219018","8.701656","STRAIGHT","3","1","none","mission"
"36","37.30407474","127.90741240","-10.674050","-11.049436","-2.325110492","-133.219018","8.950275","STRAIGHT","3","1","none","mission"
"37","37.30407311","127.90741048","-10.844302","-11.230615","-2.325110492","-133.219018","9.198894","STRAIGHT","3","1","none","mission"
"38","37.30407148","127.90740856","-11.014553","-11.411793","-2.325110492","-133.219018","9.447513","STRAIGHT","3","1","none","mission"
"39","37.30406984","127.90740664","-11.184804","-11.592972","-2.325110492","-133.219018","9.696131","STRAIGHT","3","1","none","mission"
"40","37.30406821","127.90740472","-11.355056","-11.774151","-2.325110492","-133.219018","9.944750","STRAIGHT","3","1","none","mission"
