"idx","lat","lon","east_m","north_m","yaw_rad","yaw_deg","s_m","segment_type","zone_id","inside_zone","state","parking_mode","drive_mode"
"0","37.30404006","127.90739023","-12.640000","-14.898000","0.737368115","42.248081","0.000000","CUBIC_HERMITE","3","1","0","none","mission"
"1","37.30404158","127.90739231","-12.455097","-14.730057","0.691708859","39.631998","0.249788","CUBIC_HERMITE","3","1","0","none","mission"
"2","37.30404293","127.90739456","-12.255512","-14.579562","0.624421861","35.776737","0.499754","CUBIC_HERMITE","3","1","0","none","mission"
"3","37.30404421","127.90739689","-12.049578","-14.437838","0.589734794","33.789315","0.749743","CUBIC_HERMITE","3","1","0","none","mission"
"4","37.30404544","127.90739925","-11.840016","-14.301524","0.567938967","32.540506","0.999738","CUBIC_HERMITE","3","1","0","none","mission"
"5","37.30404663","127.90740164","-11.628094","-14.168904","0.552901271","31.678909","1.249736","CUBIC_HERMITE","3","1","0","none","mission"
"6","37.30404780","127.90740405","-11.414525","-14.038952","0.541985508","31.053482","1.499735","CUBIC_HERMITE","3","1","0","none","mission"
"7","37.30404896","127.90740647","-11.199757","-13.910989","0.533844248","30.587022","1.749734","CUBIC_HERMITE","3","1","0","none","mission"
"8","37.30405010","127.90740890","-10.984100","-13.784531","0.527717707","30.235997","1.999734","CUBIC_HERMITE","3","1","0","none","mission"
"9","37.30405123","127.90741134","-10.767780","-13.659209","0.523152549","29.974433","2.249733","CUBIC_HERMITE","3","1","0","none","mission"
"10","37.30405235","127.90741379","-10.550977","-13.534724","0.519872439","29.786497","2.499733","CUBIC_HERMITE","3","1","0","none","mission"
"11","37.30405346","127.90741624","-10.333839","-13.410824","0.517713384","29.662792","2.749733","CUBIC_HERMITE","3","1","0","none","mission"
"12","37.30405458","127.90741869","-10.116501","-13.287277","0.516596214","29.598783","2.999733","CUBIC_HERMITE","3","1","0","none","mission"
"13","37.30405569","127.90742114","-9.899087","-13.163862","0.516511832","29.593948","3.249733","CUBIC_HERMITE","3","1","0","none","mission"
"14","37.30405680","127.90742359","-9.681727","-13.040352","0.517524817","29.651988","3.499733","CUBIC_HERMITE","3","1","0","none","mission"
"15","37.30405792","127.90742604","-9.464564","-12.916497","0.519787733","29.781643","3.749733","CUBIC_HERMITE","3","1","0","none","mission"
