"idx","lat","lon","east_m","north_m","yaw_rad","yaw_deg","s_m","segment_type","zone_id","inside_zone","parking_mode","drive_mode"
"50","37.30358627","127.90689361","-56.667815","-65.261647","0.840436251","48.153450","12.282805","STRAIGHT","0","0","none","mission"
"51","37.30358795","127.90689549","-56.501134","-65.075529","0.840436251","48.153450","12.532650","STRAIGHT","0","0","none","mission"
"52","37.30358962","127.90689737","-56.334454","-64.889412","0.840436251","48.153450","12.782494","STRAIGHT","0","0","none","mission"
"53","37.30359130","127.90689925","-56.167773","-64.703294","0.840436251","48.153450","13.032339","STRAIGHT","0","0","none","mission"
"54","37.30359298","127.90690113","-56.001092","-64.517176","0.840436251","48.153450","13.282183","STRAIGHT","0","0","none","mission"
"55","37.30359465","127.90690301","-55.834412","-64.331059","0.840436251","48.153450","13.532027","STRAIGHT","0","0","none","mission"
"56","37.30359633","127.90690489","-55.667731","-64.144941","0.840436251","48.153450","13.781872","STRAIGHT","0","0","none","mission"
"57","37.30359801","127.90690677","-55.501050","-63.958824","0.840436251","48.153450","14.031716","STRAIGHT","0","0","none","mission"
"58","37.30359968","127.90690865","-55.334370","-63.772706","0.840436251","48.153450","14.281561","STRAIGHT","0","0","none","mission"
"59","37.30360136","127.90691053","-55.167689","-63.586588","0.840436251","48.153450","14.531405","STRAIGHT","0","0","none","mission"
"60","37.30360304","127.90691241","-55.001008","-63.400471","0.840436251","48.153450","14.781249","STRAIGHT","0","0","none","mission"
"61","37.30360472","127.90691429","-54.834328","-63.214353","0.840436251","48.153450","15.031094","STRAIGHT","0","0","none","mission"
"62","37.30360639","127.90691617","-54.667647","-63.028235","0.840436251","48.153450","15.280938","STRAIGHT","0","0","none","mission"
"63","37.30360807","127.90691805","-54.500966","-62.842118","0.840436251","48.153450","15.530783","STRAIGHT","0","0","none","mission"
"64","37.30360975","127.90691993","-54.334286","-62.656000","0.840436251","48.153450","15.780627","STRAIGHT","0","0","none","mission"
"65","37.30361142","127.90692181","-54.167605","-62.469882","0.840436251","48.153450","16.030471","STRAIGHT","0","0","none","mission"
"66","37.30361310","127.90692369","-54.000924","-62.283765","0.840436251","48.153450","16.280316","STRAIGHT","0","0","none","mission"
"67","37.30361478","127.90692557","-53.834244","-62.097647","0.840436251","48.153450","16.530160","STRAIGHT","0","0","none","mission"
"68","37.30361645","127.90692745","-53.667563","-61.911529","0.840436251","48.153450","16.780005","STRAIGHT","0","0","none","mission"
"69","37.30361813","127.90692933","-53.500882","-61.725412","0.840436251","48.153450","17.029849","STRAIGHT","0","0","none","mission"
"70","37.30361981","127.90693121","-53.334202","-61.539294","0.840436251","48.153450","17.279693","STRAIGHT","0","0","none","mission"
"71","37.30362149","127.90693309","-53.167521","-61.353176","0.840436251","48.153450","17.529538","STRAIGHT","0","0","none","mission"
"72","37.30362316","127.90693497","-53.000840","-61.167059","0.840436251","48.153450","17.779382","STRAIGHT","0","0","none","mission"
"73","37.30362484","127.90693685","-52.834160","-60.980941","0.840436251","48.153450","18.029227","STRAIGHT","0","0","none","mission"
"74","37.30362652","127.90693873","-52.667479","-60.794824","0.840436251","48.153450","18.279071","STRAIGHT","0","0","none","mission"
"75","37.30362819","127.90694061","-52.500798","-60.608706","0.840436251","48.153450","18.528915","STRAIGHT","0","0","none","mission"
"76","37.30362987","127.90694249","-52.334118","-60.422588","0.840436251","48.153450","18.778760","STRAIGHT","0","0","none","mission"
"77","37.30363155","127.90694437","-52.167437","-60.236471","0.840436251","48.153450","19.028604","STRAIGHT","0","0","none","mission"
"78","37.30363322","127.90694625","-52.000756","-60.050353","0.840436251","48.153450","19.278449","STRAIGHT","0","0","none","mission"
"79","37.30363490","127.90694813","-51.834076","-59.864235","0.840436251","48.153450","19.528293","STRAIGHT","0","0","none","mission"
"80","37.30363658","127.90695001","-51.667395","-59.678118","0.840436251","48.153450","19.778137","STRAIGHT","0","0","none","mission"
"81","37.30363826","127.90695189","-51.500714","-59.492000","0.840436251","48.153450","20.027982","STRAIGHT","0","0","none","mission"
"82","37.30363993","127.90695377","-51.334034","-59.305882","0.840436251","48.153450","20.277826","STRAIGHT","0","0","none","mission"
"83","37.30364161","127.90695565","-51.167353","-59.119765","0.840436251","48.153450","20.527671","STRAIGHT","0","0","none","mission"
"84","37.30364329","127.90695753","-51.000672","-58.933647","0.840436251","48.153450","20.777515","STRAIGHT","0","0","none","mission"
"85","37.30364496","127.90695941","-50.833992","-58.747529","0.840436251","48.153450","21.027359","STRAIGHT","0","0","none","mission"
