"idx","lat","lon","east_m","north_m","yaw_rad","yaw_deg","s_m","segment_type","zone_id","inside_zone","parking_mode","drive_mode"
"0","37.30404006","127.90739023","-12.640000","-14.898000","0.915047474","52.428358","0.000000","CUBIC_HERMITE","3","1","none","mission"
"1","37.30404185","127.90739194","-12.487700","-14.700031","0.962084708","55.123393","0.249774","CUBIC_HERMITE","3","1","none","mission"
"2","37.30404375","127.90739345","-12.354560","-14.488476","1.031112214","59.078378","0.499737","CUBIC_HERMITE","3","1","none","mission"
"3","37.30404571","127.90739484","-12.230854","-14.271241","1.066148734","61.085823","0.749726","CUBIC_HERMITE","3","1","none","mission"
"4","37.30404770","127.90739617","-12.112839","-14.050854","1.087698474","62.320532","0.999722","CUBIC_HERMITE","3","1","none","mission"
"5","37.30404970","127.90739746","-11.998603","-13.828482","1.102147698","63.148411","1.249720","CUBIC_HERMITE","3","1","none","mission"
"6","37.30405172","127.90739872","-11.887004","-13.604775","1.112235459","63.726398","1.499719","CUBIC_HERMITE","3","1","none","mission"
"7","37.30405374","127.90739996","-11.777276","-13.380142","1.119349114","64.133980","1.749718","CUBIC_HERMITE","3","1","none","mission"
"8","37.30405577","127.90740118","-11.668871","-13.154869","1.124265233","64.415653","1.999718","CUBIC_HERMITE","3","1","none","mission"
"9","37.30405780","127.90740239","-11.561357","-12.929168","1.127433167","64.597162","2.249718","CUBIC_HERMITE","3","1","none","mission"
"10","37.30405984","127.90740360","-11.454381","-12.703212","1.129117475","64.693666","2.499718","CUBIC_HERMITE","3","1","none","mission"
"11","37.30406188","127.90740480","-11.347629","-12.477151","1.129455718","64.713046","2.749718","CUBIC_HERMITE","3","1","none","mission"
"12","37.30406391","127.90740601","-11.240805","-12.251123","1.128490308","64.657732","2.999718","CUBIC_HERMITE","3","1","none","mission"
"13","37.30406595","127.90740722","-11.133616","-12.025267","1.126177446","64.525215","3.249718","CUBIC_HERMITE","3","1","none","mission"
"14","37.30406798","127.90740843","-11.025749","-11.799736","1.122379205","64.307591","3.499718","CUBIC_HERMITE","3","1","none","mission"
"15","37.30407001","127.90740966","-10.916847","-11.574702","1.116836050","63.989992","3.749718","CUBIC_HERMITE","3","1","none","mission"
"16","37.30407203","127.90741091","-10.806486","-11.350380","1.109112075","63.547441","3.999717","CUBIC_HERMITE","3","1","none","mission"
"17","37.30407404","127.90741217","-10.694122","-11.127056","1.098473174","62.937877","4.249716","CUBIC_HERMITE","3","1","none","mission"
"18","37.30407604","127.90741347","-10.579014","-10.905135","1.083635708","62.087753","4.499714","CUBIC_HERMITE","3","1","none","mission"
"19","37.30407802","127.90741481","-10.460074","-10.685246","1.062166780","60.857674","4.749709","CUBIC_HERMITE","3","1","none","mission"
"20","37.30407998","127.90741622","-10.335551","-10.468477","1.028751288","58.943107","4.999699","CUBIC_HERMITE","3","1","none","mission"
"21","37.30408188","127.90741772","-10.202206","-10.257044","0.968384841","55.484364","5.249669","CUBIC_HERMITE","3","1","none","mission"
"22","37.30408368","127.90741941","-10.052556","-10.056958","0.904243575","51.809341","5.499528","CUBIC_HERMITE","3","1","none","mission"
"23","37.30408420","127.90742000","-10.000000","-10.000000","0.794959450","45.547821","5.577028","CUBIC_HERMITE","3","1","none","mission"
"24","37.30408578","127.90742198","-9.824561","-9.824561","0.785398163","45.000000","5.825136","STRAIGHT","3","1","none","mission"
"25","37.30408736","127.90742396","-9.649123","-9.649123","0.785398163","45.000000","6.073243","STRAIGHT","3","1","none","mission"
"26","37.30408894","127.90742594","-9.473684","-9.473684","0.785398163","45.000000","6.321351","STRAIGHT","0","0","none","mission"
"27","37.30409052","127.90742792","-9.298246","-9.298246","0.785398163","45.000000","6.569458","STRAIGHT","0","0","none","mission"
"28","37.30409210","127.90742990","-9.122807","-9.122807","0.785398163","45.000000","6.817566","STRAIGHT","0","0","none","mission"
"29","37.30409368","127.90743188","-8.947368","-8.947368","0.785398163","45.000000","7.065674","STRAIGHT","0","0","none","mission"
"30","37.30409526","127.90743386","-8.771930","-8.771930","0.785398163","45.000000","7.313781","STRAIGHT","0","0","none","mission"
"31","37.30409684","127.90743584","-8.596491","-8.596491","0.785398163","45.000000","7.561889","STRAIGHT","0","0","none","mission"
"32","37.30409842","127.90743781","-8.421053","-8.421053","0.785398163","45.000000","7.809997","STRAIGHT","0","0","none","mission"
"33","37.30410000","127.90743979","-8.245614","-8.245614","0.785398163","45.000000","8.058104","STRAIGHT","0","0","none","mission"
"34","37.30410158","127.90744177","-8.070175","-8.070175","0.785398163","45.000000","8.306212","STRAIGHT","0","0","none","mission"
"35","37.30410317","127.90744375","-7.894737","-7.894737","0.785398163","45.000000","8.554320","STRAIGHT","0","0","none","mission"
"36","37.30410475","127.90744573","-7.719298","-7.719298","0.785398163","45.000000","8.802427","STRAIGHT","0","0","none","mission"
"37","37.30410633","127.90744771","-7.543860","-7.543860","0.785398163","45.000000","9.050535","STRAIGHT","0","0","none","mission"
"38","37.30410791","127.90744969","-7.368421","-7.368421","0.785398163","45.000000","9.298643","STRAIGHT","0","0","none","mission"
"39","37.30410949","127.90745167","-7.192982","-7.192982","0.785398163","45.000000","9.546750","STRAIGHT","0","0","none","mission"
"40","37.30411107","127.90745365","-7.017544","-7.017544","0.785398163","45.000000","9.794858","STRAIGHT","0","0","none","mission"
"41","37.30411265","127.90745562","-6.842105","-6.842105","0.785398163","45.000000","10.042965","STRAIGHT","0","0","none","mission"
"42","37.30411423","127.90745760","-6.666667","-6.666667","0.785398163","45.000000","10.291073","STRAIGHT","0","0","none","mission"
"43","37.30411581","127.90745958","-6.491228","-6.491228","0.785398163","45.000000","10.539181","STRAIGHT","0","0","none","mission"
"44","37.30411739","127.90746156","-6.315789","-6.315789","0.785398163","45.000000","10.787288","STRAIGHT","0","0","none","mission"
"45","37.30411897","127.90746354","-6.140351","-6.140351","0.785398163","45.000000","11.035396","STRAIGHT","0","0","none","mission"
"46","37.30412055","127.90746552","-5.964912","-5.964912","0.785398163","45.000000","11.283504","STRAIGHT","0","0","none","mission"
"47","37.30412213","127.90746750","-5.789474","-5.789474","0.785398163","45.000000","11.531611","STRAIGHT","0","0","none","mission"
"48","37.30412372","127.90746948","-5.614035","-5.614035","0.785398163","45.000000","11.779719","STRAIGHT","0","0","none","mission"
"49","37.30412530","127.90747145","-5.438596","-5.438596","0.785398163","45.000000","12.027827","STRAIGHT","0","0","none","mission"
"50","37.30412688","127.90747343","-5.263158","-5.263158","0.785398163","45.000000","12.275934","STRAIGHT","0","0","none","mission"
"51","37.30412846","127.90747541","-5.087719","-5.087719","0.785398163","45.000000","12.524042","STRAIGHT","0","0","none","mission"
"52","37.30413004","127.90747739","-4.912281","-4.912281","0.785398163","45.000000","12.772150","STRAIGHT","0","0","none","mission"
"53","37.30413162","127.90747937","-4.736842","-4.736842","0.785398163","45.000000","13.020257","STRAIGHT","0","0","none","mission"
"54","37.30413320","127.90748135","-4.561404","-4.561404","0.785398163","45.000000","13.268365","STRAIGHT","0","0","none","mission"
"55","37.30413478","127.90748333","-4.385965","-4.385965","0.785398163","45.000000","13.516472","STRAIGHT","0","0","none","mission"
"56","37.30413636","127.90748531","-4.210526","-4.210526","0.785398163","45.000000","13.764580","STRAIGHT","0","0","none","mission"
"57","37.30413794","127.90748729","-4.035088","-4.035088","0.785398163","45.000000","14.012688","STRAIGHT","0","0","none","mission"
"58","37.30413952","127.90748926","-3.859649","-3.859649","0.785398163","45.000000","14.260795","STRAIGHT","0","0","none","mission"
"59","37.30414110","127.90749124","-3.684211","-3.684211","0.785398163","45.000000","14.508903","STRAIGHT","0","0","none","mission"
"60","37.30414268","127.90749322","-3.508772","-3.508772","0.785398163","45.000000","14.757011","STRAIGHT","0","0","none","mission"
"61","37.30414427","127.90749520","-3.333333","-3.333333","0.785398163","45.000000","15.005118","STRAIGHT","0","0","none","mission"
"62","37.30414585","127.90749718","-3.157895","-3.157895","0.785398163","45.000000","15.253226","STRAIGHT","0","0","none","mission"
"63","37.30414743","127.90749916","-2.982456","-2.982456","0.785398163","45.000000","15.501334","STRAIGHT","0","0","none","mission"
"64","37.30414901","127.90750114","-2.807018","-2.807018","0.785398163","45.000000","15.749441","STRAIGHT","0","0","none","mission"
"65","37.30415059","127.90750312","-2.631579","-2.631579","0.785398163","45.000000","15.997549","STRAIGHT","0","0","none","mission"
"66","37.30415217","127.90750510","-2.456140","-2.456140","0.785398163","45.000000","16.245657","STRAIGHT","0","0","none","mission"
"67","37.30415375","127.90750707","-2.280702","-2.280702","0.785398163","45.000000","16.493764","STRAIGHT","0","0","none","mission"
"68","37.30415533","127.90750905","-2.105263","-2.105263","0.785398163","45.000000","16.741872","STRAIGHT","0","0","none","mission"
"69","37.30415691","127.90751103","-1.929825","-1.929825","0.785398163","45.000000","16.989979","STRAIGHT","0","0","none","mission"
"70","37.30415849","127.90751301","-1.754386","-1.754386","0.785398163","45.000000","17.238087","STRAIGHT","0","0","none","mission"
"71","37.30416007","127.90751499","-1.578947","-1.578947","0.785398163","45.000000","17.486195","STRAIGHT","0","0","none","mission"
"72","37.30416165","127.90751697","-1.403509","-1.403509","0.785398163","45.000000","17.734302","STRAIGHT","0","0","none","mission"
"73","37.30416323","127.90751895","-1.228070","-1.228070","0.785398163","45.000000","17.982410","STRAIGHT","0","0","none","mission"
"74","37.30416482","127.90752093","-1.052632","-1.052632","0.785398163","45.000000","18.230518","STRAIGHT","0","0","none","mission"
"75","37.30416640","127.90752291","-0.877193","-0.877193","0.785398163","45.000000","18.478625","STRAIGHT","0","0","none","mission"
