"idx","lat","lon","east_m","north_m","yaw_rad","yaw_deg","s_m","segment_type","zone_id","inside_zone","state","parking_mode","drive_mode"
"0","37.30384130","127.90713779","-35.020000","-36.958000","-2.333283743","-133.687311","0.000000","STRAIGHT","0","0","0","none","mission"
"1","37.30383967","127.90713584","-35.192441","-37.138529","-2.333283743","-133.687311","0.249653","STRAIGHT","0","0","0","none","mission"
"2","37.30383804","127.90713390","-35.364882","-37.319059","-2.333283743","-133.687311","0.499307","STRAIGHT","0","0","0","none","mission"
"3","37.30383642","127.90713195","-35.537324","-37.499588","-2.333283743","-133.687311","0.748960","STRAIGHT","0","0","0","none","mission"
"4","37.30383479","127.90713001","-35.709765","-37.680118","-2.333283743","-133.687311","0.998614","STRAIGHT","0","0","0","none","mission"
"5","37.30383316","127.90712806","-35.882206","-37.860647","-2.333283743","-133.687311","1.248267","STRAIGHT","0","0","0","none","mission"
"6","37.30383154","127.90712612","-36.054647","-38.041176","-2.333283743","-133.687311","1.497920","STRAIGHT","0","0","0","none","mission"
"7","37.30382991","127.90712417","-36.227088","-38.221706","-2.333283743","-133.687311","1.747574","STRAIGHT","0","0","0","none","mission"
"8","37.30382828","127.90712223","-36.399529","-38.402235","-2.333283743","-133.687311","1.997227","STRAIGHT","0","0","0","none","mission"
"9","37.30382666","127.90712028","-36.571971","-38.582765","-2.333283743","-133.687311","2.246881","STRAIGHT","0","0","0","none","mission"
"10","37.30382503","127.90711834","-36.744412","-38.763294","-2.333283743","-133.687311","2.496534","STRAIGHT","0","0","0","none","mission"
"11","37.30382340","127.90711639","-36.916853","-38.943824","-2.333283743","-133.687311","2.746188","STRAIGHT","0","0","0","none","mission"
"12","37.30382178","127.90711445","-37.089294","-39.124353","-2.333283743","-133.687311","2.995841","STRAIGHT","0","0","0","none","mission"
"13","37.30382015","127.90711250","-37.261735","-39.304882","-2.333283743","-133.687311","3.245494","STRAIGHT","0","0","0","none","mission"
"14","37.30381852","127.90711056","-37.434176","-39.485412","-2.333283743","-133.687311","3.495148","STRAIGHT","0","0","0","none","mission"
"15","37.30381690","127.90710861","-37.606618","-39.665941","-2.333283743","-133.687311","3.744801","STRAIGHT","0","0","0","none","mission"
"16","37.30381527","127.90710667","-37.779059","-39.846471","-2.333283743","-133.687311","3.994455","STRAIGHT","0","0","0","none","mission"
"17","37.30381364","127.90710472","-37.951500","-40.027000","-2.333283743","-133.687311","4.244108","STRAIGHT","0","0","0","none","mission"
"18","37.30381202","127.90710278","-38.123941","-40.207529","-2.333283743","-133.687311","4.493761","STRAIGHT","0","0","0","none","mission"
"19","37.30381039","127.90710083","-38.296382","-40.388059","-2.333283743","-133.687311","4.743415","STRAIGHT","2","1","0","none","mission"
"20","37.30380876","127.90709889","-38.468824","-40.568588","-2.333283743","-133.687311","4.993068","STRAIGHT","2","1","0","none","mission"
"21","37.30380714","127.90709694","-38.641265","-40.749118","-2.333283743","-133.687311","5.242722","STRAIGHT","2","1","0","none","mission"
"22","37.30380551","127.90709500","-38.813706","-40.929647","-2.333283743","-133.687311","5.492375","STRAIGHT","2","1","0","none","mission"
"23","37.30380388","127.90709305","-38.986147","-41.110176","-2.333283743","-133.687311","5.742029","STRAIGHT","2","1","0","none","mission"
"24","37.30380226","127.90709111","-39.158588","-41.290706","-2.333283743","-133.687311","5.991682","STRAIGHT","2","1","0","none","mission"
