idx,utc,lat,lon,height_m,east_m,north_m,quality
186,054135.25,37.3036497,127.9069335,183.500,-43.491,-45.289,4
187,054135.50,37.3036475,127.9069303,183.500,-43.772,-45.530,4
188,054135.75,37.3036452,127.9069272,183.500,-44.052,-45.790,4
189,054136.00,37.3036428,127.9069247,183.500,-44.274,-46.049,4
190,054136.25,37.3036403,127.9069220,183.500,-44.510,-46.328,4
191,054136.50,37.3036380,127.9069192,183.500,-44.761,-46.587,4
192,054136.75,37.3036357,127.9069162,183.500,-45.026,-46.847,4
193,054137.00,37.3036330,127.9069137,183.500,-45.248,-47.144,4
194,054137.25,37.3036305,127.9069108,183.500,-45.499,-47.422,4
195,054137.50,37.3036282,127.9069080,183.500,-45.749,-47.682,4
196,054137.75,37.3036257,127.9069050,183.500,-46.015,-47.960,4
197,054138.00,37.3036233,127.9069022,183.500,-46.266,-48.220,4
198,054138.25,37.3036210,127.9068992,183.500,-46.532,-48.480,4
199,054138.50,37.3036187,127.9068963,183.500,-46.783,-48.740,4
200,054138.75,37.3036162,127.9068937,183.500,-47.019,-49.018,4
201,054139.00,37.3036137,127.9068908,183.600,-47.270,-49.296,4
202,054139.25,37.3036110,127.9068878,183.500,-47.535,-49.593,4
203,054139.50,37.3036087,127.9068845,183.500,-47.830,-49.853,4
204,054139.75,37.3036062,127.9068813,183.500,-48.111,-50.131,4
205,054140.00,37.3036037,127.9068783,183.500,-48.376,-50.409,4
206,054140.25,37.3036012,127.9068755,183.500,-48.627,-50.688,4
207,054140.50,37.3035988,127.9068723,183.500,-48.908,-50.947,4
208,054140.75,37.3035963,127.9068693,183.500,-49.173,-51.226,4
209,054140.88,37.3035950,127.9068677,183.500,-49.321,-51.374,4
210,054141.13,37.3035925,127.9068652,183.500,-49.542,-51.652,4
211,054141.38,37.3035902,127.9068623,183.500,-49.793,-51.912,4
212,054141.63,37.3035880,127.9068597,183.500,-50.029,-52.153,4
213,054141.88,37.3035857,127.9068565,183.500,-50.310,-52.413,4
214,054142.00,37.3035842,127.9068550,183.500,-50.442,-52.580,4
215,054142.25,37.3035817,127.9068523,183.500,-50.679,-52.858,4
216,054142.50,37.3035792,127.9068493,183.500,-50.944,-53.137,4
217,054142.75,37.3035767,127.9068465,183.500,-51.195,-53.415,4
218,054143.00,37.3035742,127.9068433,183.500,-51.476,-53.693,4
219,054143.25,37.3035717,127.9068410,183.500,-51.682,-53.972,4
220,054143.50,37.3035692,127.9068382,183.500,-51.933,-54.250,4
221,054143.75,37.3035668,127.9068353,183.500,-52.184,-54.510,4
222,054144.00,37.3035645,127.9068323,183.500,-52.450,-54.769,4
223,054144.25,37.3035620,127.9068298,183.500,-52.671,-55.048,4
224,054144.50,37.3035595,127.9068268,183.500,-52.937,-55.326,4
225,054144.75,37.3035573,127.9068242,183.500,-53.173,-55.567,4
226,054145.00,37.3035548,127.9068213,183.500,-53.424,-55.846,4
227,054145.25,37.3035525,127.9068187,183.500,-53.660,-56.105,4
228,054145.50,37.3035500,127.9068160,183.500,-53.896,-56.384,4
229,054145.75,37.3035480,127.9068132,183.500,-54.147,-56.606,4
230,054146.00,37.3035458,127.9068105,183.500,-54.383,-56.847,4
231,054146.25,37.3035435,127.9068082,183.500,-54.589,-57.107,4
232,054146.50,37.3035415,127.9068058,183.500,-54.796,-57.330,4
233,054146.75,37.3035400,127.9068038,183.500,-54.973,-57.497,4
234,054147.00,37.3035385,127.9068023,183.500,-55.106,-57.664,4
235,054147.38,37.3035370,127.9068005,183.500,-55.268,-57.831,4
