idx,utc,lat,lon,height_m,east_m,north_m,quality
0,101643.25,37.3041597,127.9075443,182.800,0.000,0.000,4
1,101650.88,37.3041575,127.9075422,182.600,-0.192,-0.241,4
2,101652.38,37.3041553,127.9075397,182.600,-0.413,-0.482,4
3,101653.75,37.3041533,127.9075372,182.600,-0.635,-0.705,4
4,101654.88,37.3041515,127.9075347,182.600,-0.856,-0.909,4
5,101656.13,37.3041495,127.9075320,182.600,-1.092,-1.132,4
6,101657.38,37.3041475,127.9075295,182.600,-1.313,-1.354,4
7,101658.50,37.3041457,127.9075270,182.600,-1.535,-1.558,4
8,101659.63,37.3041435,127.9075248,182.600,-1.727,-1.800,4
9,101700.75,37.3041417,127.9075222,182.600,-1.963,-2.004,4
10,101701.88,37.3041398,127.9075197,182.600,-2.184,-2.208,4
11,101703.00,37.3041380,127.9075172,182.500,-2.406,-2.412,4
12,101704.00,37.3041365,127.9075143,182.600,-2.656,-2.579,4
13,101705.25,37.3041343,127.9075117,182.600,-2.893,-2.820,4
14,101706.38,37.3041323,127.9075092,182.600,-3.114,-3.043,4
15,101707.63,37.3041305,127.9075067,182.500,-3.335,-3.247,4
16,101708.75,37.3041285,127.9075042,182.500,-3.557,-3.469,4
17,101709.88,37.3041267,127.9075017,182.500,-3.778,-3.674,4
18,101711.00,37.3041247,127.9074993,182.500,-3.985,-3.896,4
19,101712.13,37.3041227,127.9074967,182.500,-4.221,-4.119,4
20,101713.25,37.3041208,127.9074940,182.500,-4.457,-4.323,4
21,101714.38,37.3041190,127.9074915,182.500,-4.678,-4.527,4
22,101715.50,37.3041172,127.9074888,182.600,-4.914,-4.731,4
23,101716.63,37.3041152,127.9074865,182.500,-5.121,-4.954,4
24,101717.75,37.3041132,127.9074842,182.500,-5.328,-5.176,4
25,101719.00,37.3041110,127.9074815,182.500,-5.564,-5.418,4
26,101720.13,37.3041092,127.9074788,182.500,-5.800,-5.622,4
27,101721.25,37.3041072,127.9074765,182.500,-6.006,-5.844,4
28,101722.50,37.3041048,127.9074743,182.500,-6.198,-6.104,4
29,101723.50,37.3041030,127.9074717,182.600,-6.434,-6.308,4
30,101724.75,37.3041007,127.9074695,182.500,-6.626,-6.568,4
31,101726.00,37.3040983,127.9074670,182.500,-6.848,-6.828,4
32,101727.13,37.3040965,127.9074645,182.500,-7.069,-7.032,4
33,101728.25,37.3040943,127.9074618,182.500,-7.305,-7.273,4
34,101729.50,37.3040923,127.9074592,182.500,-7.541,-7.496,4
35,101730.63,37.3040903,127.9074567,182.500,-7.763,-7.718,4
36,101731.75,37.3040883,127.9074542,182.500,-7.984,-7.941,4
37,101732.88,37.3040863,127.9074517,182.600,-8.205,-8.163,4
38,101734.13,37.3040842,127.9074492,182.500,-8.427,-8.405,4
39,101735.25,37.3040822,127.9074465,182.500,-8.663,-8.627,4
40,101736.38,37.3040800,127.9074442,182.500,-8.869,-8.868,4
41,101737.50,37.3040778,127.9074418,182.600,-9.076,-9.110,4
42,101738.63,37.3040757,127.9074397,182.500,-9.268,-9.351,4
43,101739.75,37.3040735,127.9074372,182.600,-9.489,-9.592,4
44,101741.00,37.3040712,127.9074348,182.600,-9.696,-9.852,4
45,101742.25,37.3040688,127.9074323,182.500,-9.917,-10.112,4
46,101743.38,37.3040670,127.9074298,182.600,-10.139,-10.316,4
47,101744.50,37.3040648,127.9074273,182.500,-10.360,-10.557,4
48,101745.63,37.3040630,127.9074247,182.600,-10.596,-10.761,4
49,101746.63,37.3040613,127.9074220,182.600,-10.832,-10.946,4
50,101747.75,37.3040597,127.9074193,182.600,-11.068,-11.132,4
51,101748.88,37.3040578,127.9074165,182.600,-11.319,-11.336,4
52,101750.00,37.3040558,127.9074140,182.600,-11.541,-11.559,4
53,101751.13,37.3040538,127.9074115,182.600,-11.762,-11.781,4
54,101752.25,37.3040518,127.9074092,182.600,-11.969,-12.004,4
55,101753.50,37.3040495,127.9074068,182.600,-12.175,-12.264,4
56,101754.63,37.3040475,127.9074043,182.600,-12.397,-12.486,4
57,101755.75,37.3040455,127.9074020,182.600,-12.603,-12.709,4
58,101756.63,37.3040433,127.9073998,182.600,-12.795,-12.950,4
59,101757.25,37.3040413,127.9073972,182.600,-13.031,-13.173,4
60,101757.88,37.3040392,127.9073947,182.600,-13.253,-13.414,4
61,101758.50,37.3040372,127.9073920,182.600,-13.489,-13.637,4
62,101759.13,37.3040350,127.9073893,182.600,-13.725,-13.878,4
63,101759.75,37.3040328,127.9073868,182.600,-13.946,-14.119,4
64,101800.38,37.3040307,127.9073843,182.600,-14.168,-14.360,4
65,101801.00,37.3040283,127.9073818,182.600,-14.389,-14.620,4
66,101801.63,37.3040262,127.9073788,182.600,-14.655,-14.861,4
67,101802.25,37.3040240,127.9073765,182.600,-14.861,-15.102,4
68,101802.88,37.3040217,127.9073740,182.600,-15.083,-15.362,4
69,101803.50,37.3040193,127.9073712,182.600,-15.333,-15.622,4
70,101804.13,37.3040172,127.9073687,182.600,-15.555,-15.863,4
71,101804.75,37.3040148,127.9073658,182.600,-15.806,-16.123,4
72,101805.38,37.3040127,127.9073633,182.600,-16.027,-16.364,4
73,101806.00,37.3040103,127.9073605,182.600,-16.278,-16.624,4
74,101806.63,37.3040082,127.9073580,182.600,-16.499,-16.865,4
75,101807.25,37.3040058,127.9073553,182.600,-16.735,-17.125,4
76,101807.88,37.3040035,127.9073527,182.600,-16.972,-17.384,4
77,101808.50,37.3040013,127.9073502,182.600,-17.193,-17.626,4
78,101809.50,37.3039992,127.9073477,182.600,-17.414,-17.867,4
79,101810.63,37.3039970,127.9073450,182.600,-17.650,-18.108,4
80,101811.75,37.3039948,127.9073425,182.600,-17.872,-18.349,4
81,101812.75,37.3039930,127.9073400,182.600,-18.093,-18.553,4
82,101813.75,37.3039915,127.9073372,182.600,-18.344,-18.720,4
83,101814.88,37.3039903,127.9073338,182.600,-18.639,-18.850,4
84,101816.00,37.3039897,127.9073303,182.600,-18.949,-18.924,4
85,101817.00,37.3039888,127.9073270,182.600,-19.244,-19.017,4
86,101818.00,37.3039885,127.9073235,182.600,-19.554,-19.054,4
87,101819.00,37.3039885,127.9073198,182.600,-19.879,-19.054,4
88,101820.00,37.3039885,127.9073162,182.600,-20.204,-19.054,4
89,101821.13,37.3039887,127.9073125,182.600,-20.528,-19.036,4
90,101822.25,37.3039890,127.9073087,182.600,-20.868,-18.999,4
91,101823.38,37.3039890,127.9073050,182.600,-21.192,-18.999,4
92,101824.50,37.3039880,127.9073017,182.600,-21.487,-19.110,4
93,101825.63,37.3039863,127.9072990,182.600,-21.724,-19.295,4
94,101826.75,37.3039843,127.9072967,182.600,-21.930,-19.518,4
95,101828.00,37.3039818,127.9072948,182.600,-22.093,-19.796,4
96,101829.25,37.3039790,127.9072938,182.600,-22.181,-20.112,4
97,101830.38,37.3039763,127.9072932,182.600,-22.240,-20.409,4
98,101831.63,37.3039733,127.9072928,182.600,-22.270,-20.743,4
99,101832.88,37.3039705,127.9072925,182.600,-22.299,-21.058,4
100,101834.00,37.3039677,127.9072923,182.600,-22.314,-21.373,4
101,101835.25,37.3039647,127.9072922,182.600,-22.329,-21.707,4
102,101836.50,37.3039618,127.9072927,182.600,-22.284,-22.023,4
103,101837.63,37.3039592,127.9072933,182.600,-22.225,-22.320,4
104,101838.75,37.3039563,127.9072943,182.600,-22.137,-22.635,4
105,101839.88,37.3039535,127.9072955,182.600,-22.033,-22.950,4
106,101840.88,37.3039507,127.9072963,182.600,-21.960,-23.266,4
107,101841.88,37.3039478,127.9072973,182.600,-21.871,-23.581,4
108,101842.88,37.3039450,127.9072977,182.600,-21.842,-23.897,4
109,101844.00,37.3039420,127.9072980,182.700,-21.812,-24.231,4
110,101845.13,37.3039393,127.9072972,182.700,-21.886,-24.528,4
111,101846.25,37.3039367,127.9072957,182.700,-22.019,-24.824,4
112,101847.38,37.3039347,127.9072933,182.700,-22.225,-25.047,4
113,101848.50,37.3039328,127.9072905,182.700,-22.476,-25.251,4
114,101849.75,37.3039317,127.9072870,182.600,-22.786,-25.381,4
115,101850.88,37.3039313,127.9072835,182.600,-23.096,-25.418,4
116,101852.00,37.3039313,127.9072800,182.600,-23.406,-25.418,4
117,101853.25,37.3039315,127.9072762,182.700,-23.745,-25.400,4
118,101854.50,37.3039313,127.9072723,182.700,-24.085,-25.418,4
119,101855.63,37.3039303,127.9072692,182.600,-24.365,-25.529,4
120,101856.75,37.3039292,127.9072660,182.600,-24.646,-25.659,4
121,101857.88,37.3039277,127.9072630,182.700,-24.911,-25.826,4
122,101859.13,37.3039257,127.9072603,182.600,-25.147,-26.049,4
123,101900.25,37.3039237,127.9072578,182.600,-25.369,-26.272,4
124,101901.38,37.3039217,127.9072555,182.600,-25.575,-26.494,4
125,101902.50,37.3039198,127.9072530,182.600,-25.797,-26.698,4
126,101903.63,37.3039178,127.9072507,182.600,-26.003,-26.921,4
127,101904.75,37.3039158,127.9072482,182.600,-26.225,-27.144,4
128,101905.63,37.3039137,127.9072453,182.600,-26.476,-27.385,4
129,101906.25,37.3039115,127.9072428,182.600,-26.697,-27.626,4
130,101906.88,37.3039095,127.9072400,182.700,-26.948,-27.849,4
131,101907.50,37.3039072,127.9072375,182.700,-27.169,-28.108,4
132,101908.13,37.3039050,127.9072350,182.700,-27.391,-28.349,4
133,101908.75,37.3039027,127.9072325,182.700,-27.612,-28.609,4
134,101909.38,37.3039003,127.9072298,182.700,-27.848,-28.869,4
135,101910.00,37.3038982,127.9072273,182.700,-28.069,-29.110,4
136,101910.63,37.3038960,127.9072247,182.700,-28.306,-29.351,4
137,101911.25,37.3038937,127.9072218,182.700,-28.556,-29.611,4
138,101911.88,37.3038915,127.9072190,182.700,-28.807,-29.852,4
139,101912.50,37.3038892,127.9072165,182.700,-29.029,-30.112,4
140,101913.13,37.3038868,127.9072140,182.700,-29.250,-30.372,4
141,101913.75,37.3038847,127.9072113,182.700,-29.486,-30.613,4
142,101914.38,37.3038825,127.9072085,182.700,-29.737,-30.854,4
143,101915.00,37.3038803,127.9072058,182.700,-29.973,-31.095,4
144,101915.75,37.3038783,127.9072033,182.700,-30.195,-31.318,4
