idx,utc,lat,lon,height_m,east_m,north_m,quality
90,092228.13,37.3039817,127.9073268,182.600,-19.731,-20.205,4
91,092229.25,37.3039795,127.9073243,182.700,-19.953,-20.446,4
92,092230.38,37.3039775,127.9073220,182.600,-20.159,-20.668,4
93,092231.50,37.3039753,127.9073195,182.700,-20.381,-20.910,4
94,092232.63,37.3039733,127.9073172,182.700,-20.587,-21.132,4
95,092233.75,37.3039713,127.9073147,182.600,-20.809,-21.355,4
96,092234.88,37.3039692,127.9073122,182.700,-21.030,-21.596,4
97,092236.00,37.3039672,127.9073097,182.600,-21.251,-21.819,4
98,092237.13,37.3039650,127.9073070,182.700,-21.487,-22.060,4
99,092238.25,37.3039630,127.9073045,182.700,-21.709,-22.283,4
100,092239.38,37.3039610,127.9073020,182.600,-21.930,-22.505,4
101,092240.50,37.3039592,127.9072993,182.600,-22.166,-22.709,4
102,092241.63,37.3039570,127.9072968,182.600,-22.388,-22.950,4
103,092242.75,37.3039550,127.9072943,182.600,-22.609,-23.173,4
104,092243.88,37.3039530,127.9072917,182.600,-22.845,-23.396,4
105,092245.00,37.3039508,127.9072892,182.600,-23.067,-23.637,4
106,092246.13,37.3039488,127.9072867,182.600,-23.288,-23.860,4
