tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,auto_estop,estop,parking_valid,parking_wall_complete,parking_ready,parking_search,parking_request_id,traffic_fail_safe,avoid_x,avoid_y,avoid_yaw,avoid_k,gps_x,gps_y,gps_heading_valid,rear_clear,red,green,traffic_stop_required
36,1789390336771675010,43235824215284,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1789390336781676566,43235834216840,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1789390336791671541,43235844211815,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1789390336802145509,43235854685779,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1789390336811672568,43235864212841,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1789390336821669961,43235874210237,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1789390336831666758,43235884207034,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1789390336841675585,43235894215859,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1789390336851669438,43235904209711,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1789390336861653869,43235914194144,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
