segment,index,map_x,map_y
path_straight1,0,6.555673590361501,-0.21122637422071489
path_straight1,1,3.5595554743885756,-0.3637918851950217
path_arc,0,3.5595554743885756,-0.3637918851950217
path_arc,1,3.481041909109864,-0.36510549025336014
path_arc,2,3.402621733494102,-0.3610580778186314
path_arc,3,3.324660578600246,-0.35166851879596783
path_arc,4,3.2475219353207567,-0.33698059164393146
path_arc,5,3.1715654596192597,-0.31706277825913043
path_arc,6,3.0971452956484224,-0.2920079446820041
path_arc,7,3.0246084245664324,-0.26193290811247416
path_arc,8,2.9542930467506663,-0.2269778922542336
path_arc,9,2.886527004951409,-0.18730587352711037
path_arc,10,2.8216262557376175,-0.1431018211957651
path_arc,11,2.759893396361539,-0.09457183495759303
path_arc,12,2.7016162539106414,-0.041942184010796635
path_arc,13,2.6470665433248626,0.014541747917067083
path_arc,14,2.5964986005361315,0.07461660666129932
path_arc,15,2.5501481966368487,0.13800229549874232
path_arc,16,2.5082314386062157,0.2044032810880031
path_arc,17,2.4709437617197407,0.27350997138231314
path_arc,18,2.438459018339765,0.3450001590905638
path_arc,19,2.410928667335499,0.4185405239564369
path_arc,20,2.388481067911855,0.4937881868513028
path_arc,21,2.371220881139582,0.5703923084350018
path_arc,22,2.3592285819770424,0.6479957249307978
path_arc,23,2.352560084058804,0.7262366133877819
path_straight2,0,2.3525600840588035,0.7262366133877817
path_straight2,1,2.2508497434092654,2.723648690703065
path_points:P0,0,2.3525600840588035,0.7262366133877817
path_points:E,0,3.5595554743885756,-0.3637918851950217
path_points:S,0,6.555673590361501,-0.21122637422071489
path_points:goal,0,2.2508497434092654,2.723648690703065
