stamp_s,state,stop_count,pose_x,pose_y,pose_yaw,ref_x,ref_y,ref_yaw,ref_curvature,target_str,act_str,v_ref,act_v,dx,dy,dyaw
1788451504.3552108,searching_for_gap,0,,,,1.5,0.0,0.0,0.0,0.0,-0.003183010034263134,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
1788451504.365244,searching_for_gap,0,,,,1.5,0.0,0.0,0.0,0.0,-0.0032629049383103848,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
1788451504.3752468,searching_for_gap,0,,,,1.5,0.0,0.0,0.0,0.0,-0.0035025894176214933,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
1788451504.3851273,searching_for_gap,0,0.006892005692884571,-0.0034817438268737407,-0.0014759754177915418,1.5,0.0,0.0,0.0,0.0,-0.003103115363046527,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
1788451504.3951793,searching_for_gap,0,0.006892005692884571,-0.0034817438268737407,-0.0014759754177915418,1.5,0.0,0.0,0.0,0.0,-0.0033960631117224693,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
1788451504.4051611,searching_for_gap,0,0.006892005692884571,-0.0034817438268737407,-0.0014759754177915418,1.5,0.0,0.0,0.0,0.0,-0.0016650083707645535,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
1788451504.4151974,searching_for_gap,0,0.006892005692884571,-0.0034817438268737407,-0.0014759754177915418,1.5,0.0,0.0,0.0,0.0,-0.0011856392957270145,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
1788451504.425261,searching_for_gap,0,0.006892005692884571,-0.0034817438268737407,-0.0014759754177915418,1.5,0.0,0.0,0.0,0.0,-0.0005464806454256177,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
1788451504.4351816,searching_for_gap,0,0.006892005692884571,-0.0034817438268737407,-0.0014759754177915418,1.5,0.0,0.0,0.0,0.0,-0.0015318503137677908,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
1788451504.445199,searching_for_gap,0,0.006892005692884571,-0.0034817438268737407,-0.0014759754177915418,1.5,0.0,0.0,0.0,0.0,-0.001957956003025174,0.75,-2.4847730565946214e-15,0.0,0.0,0.0
