segment,index,map_x,map_y
parallel_path_rear_line,0,0.3094264031749896,1.311384187942457
parallel_path_rear_line,1,1.8092743702453298,1.2900282596093566
parallel_path_rear_arc,0,1.8092743702453298,1.2900282596093566
parallel_path_rear_arc,1,1.8559866486848007,1.2883877121264986
parallel_path_rear_arc,2,1.9025897986224087,1.2847995693000538
parallel_path_rear_arc,3,1.9490026535857292,1.2792700804263928
parallel_path_rear_arc,4,1.995144378529972,1.2718088759512425
parallel_path_rear_arc,5,2.040934610624505,1.2624289506968012
parallel_path_rear_arc,6,2.0862935992169462,1.2511466412292778
parallel_path_rear_arc,7,2.1311423447310482,1.2379815974062787
parallel_path_rear_arc,8,2.1754027362564767,1.2229567481535928
parallel_path_rear_arc,9,2.218997687590838,1.2060982615309797
parallel_path_rear_arc,10,2.2618512714970227,1.1874354991565148
parallel_path_rear_arc,11,2.303888851942035,1.1670009650688669
parallel_path_rear_arc,12,2.345037214086995,1.144830249116571
parallel_path_rear_arc,13,2.3852246918019118,1.120961964972896
parallel_path_rear_arc,14,2.4243812924831496,1.0954376828842605
parallel_path_rear_arc,15,2.4624388189561888,1.0683018572693266
parallel_path_rear_arc,16,2.4993309882513763,1.0396017492948715
parallel_path_rear_arc,17,2.5349935470457967,1.0093873445632762
parallel_path_rear_arc,18,2.569364383570206,0.9777112660549996
parallel_path_rear_arc,19,2.6023836357861203,0.9446286824776553
parallel_path_rear_arc,20,2.633993795644663,0.9101972121813182
parallel_path_rear_arc,21,2.664139809245572,0.874476822807405
parallel_path_rear_arc,22,2.6927691727219427,0.837529726845909
parallel_path_rear_arc,23,2.7198320236836953,0.7994202732828871
parallel_path_front_arc,0,2.7198320236836953,0.799420273282887
parallel_path_front_arc,1,2.7739577256072003,0.7232013661568433
parallel_path_front_arc,2,2.831216452559942,0.6493071742338512
parallel_path_front_arc,3,2.89150847976176,0.5778663954860248
parallel_path_front_arc,4,2.954728799478845,0.5090034548933504
parallel_path_front_arc,5,3.0207673039106746,0.4428382877386623
parallel_path_front_arc,6,3.0895089769594923,0.3794861307221089
parallel_path_front_arc,7,3.1608340945483335,0.3190573212589185
parallel_path_front_arc,8,3.2346184331387082,0.26165710531000785
parallel_path_front_arc,9,3.3107334860847866,0.20738545408014053
parallel_path_front_arc,10,3.389046687447262,0.15633688990286942
parallel_path_front_arc,11,3.469421642877096,0.10860032161551936
parallel_path_front_arc,12,3.5517183671670156,0.06425888971092752
parallel_path_front_arc,13,3.6357935280570404,0.023389821535631405
parallel_path_front_arc,14,3.72150069586941,-0.01393570321329829
parallel_path_front_arc,15,3.8086905985381327,-0.04765267645852411
parallel_path_front_arc,16,3.8972113815889897,-0.07770237496389631
parallel_path_front_arc,17,3.9869088726171933,-0.10403246260989407
parallel_path_front_arc,18,4.077626849802075,-0.12659708154494087
parallel_path_front_arc,19,4.169207313991142,-0.14535693205382394
parallel_path_front_arc,20,4.261490763879627,-0.1602793410041241
parallel_path_front_arc,21,4.354316473806269,-0.17133831875144656
parallel_path_front_arc,22,4.447522773681484,-0.1785146044043362
parallel_path_front_arc,23,4.540947330560426,-0.1817956993700518
parallel_path_front_line,0,4.540947330560426,-0.1817956993700518
parallel_path_front_line,1,6.040795297630766,-0.2031516277031521
parallel_single_front_arc_path,0,1.5961204241252704,2.453890654105054
parallel_single_front_arc_path,1,1.6242132141142311,2.4125288945845
parallel_single_front_arc_path,2,1.6523060041031916,2.3711671350639456
parallel_single_front_arc_path,3,1.6803987940921523,2.3298053755433914
parallel_single_front_arc_path,4,1.708491584081113,2.288443616022837
parallel_single_front_arc_path,5,1.7365843740700735,2.247081856502283
parallel_single_front_arc_path,6,1.7646771640590342,2.2057200969817288
parallel_single_front_arc_path,7,1.7927699540479949,2.1643583374611746
parallel_single_front_arc_path,8,1.8208627440369554,2.122996577940621
parallel_single_front_arc_path,9,1.848955534025916,2.0816348184200666
parallel_single_front_arc_path,10,1.8770483240148765,2.0402730588995124
parallel_single_front_arc_path,11,1.9051411140038372,1.9989112993789582
parallel_single_front_arc_path,12,1.933233903992798,1.957549539858404
parallel_single_front_arc_path,13,1.9613266939817584,1.9161877803378498
parallel_single_front_arc_path,14,1.989419483970719,1.8748260208172955
parallel_single_front_arc_path,15,2.01751227395968,1.8334642612967413
parallel_single_front_arc_path,16,2.0456050639486403,1.7921025017761871
parallel_single_front_arc_path,17,2.073697853937601,1.750740742255633
parallel_single_front_arc_path,18,2.1017906439265617,1.709378982735079
parallel_single_front_arc_path,19,2.129883433915522,1.6680172232145247
parallel_single_front_arc_path,20,2.157976223904483,1.6266554636939705
parallel_single_front_arc_path,21,2.1860690138934435,1.5852937041734163
parallel_single_front_arc_path,22,2.214161803882404,1.543931944652862
parallel_single_front_arc_path,23,2.2422545938713645,1.502570185132308
parallel_single_front_arc_path,24,2.2703473838603254,1.4612084256117537
parallel_single_front_arc_path,25,2.298440173849286,1.4198466660911997
parallel_single_front_arc_path,26,2.326532963838247,1.3784849065706455
parallel_single_front_arc_path,27,2.3546257538272073,1.3371231470500913
parallel_single_front_arc_path,28,2.3827185438161678,1.295761387529537
parallel_single_front_arc_path,29,2.4108113338051282,1.2543996280089829
parallel_single_front_arc_path,30,2.4389041237940887,1.2130378684884289
parallel_single_front_arc_path,31,2.4669969137830496,1.1716761089678747
parallel_single_front_arc_path,32,2.4950897037720106,1.1303143494473205
