stamp_s,state,stop_count,pose_x,pose_y,pose_yaw,ref_x,ref_y,ref_yaw,ref_curvature,target_str,act_str,v_ref,act_v,dx,dy,dyaw
1788451300.531657,searching_for_gap,0,0.009155933314465767,-0.0008452422591886667,-0.003403018682670123,1.5,0.0,0.0,0.0,0.0,-0.005606486927717924,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.5453787,searching_for_gap,0,0.009155933314465767,-0.0008452422591886667,-0.003403018682670123,1.5,0.0,0.0,0.0,0.0,-0.008855543099343777,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.5514343,searching_for_gap,0,0.009155933314465767,-0.0008452422591886667,-0.003403018682670123,1.5,0.0,0.0,0.0,0.0,-0.008882175199687481,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.5616064,searching_for_gap,0,0.009155933314465767,-0.0008452422591886667,-0.003403018682670123,1.5,0.0,0.0,0.0,0.0,-0.010693124495446682,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.573886,searching_for_gap,0,0.009155933314465767,-0.0008452422591886667,-0.003403018682670123,1.5,0.0,0.0,0.0,0.0,-0.011492072604596615,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.5832183,searching_for_gap,0,0.009155933314465767,-0.0008452422591886667,-0.003403018682670123,1.5,0.0,0.0,0.0,0.0,-0.010453440248966217,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.591759,searching_for_gap,0,0.009155933314465767,-0.0008452422591886667,-0.003403018682670123,1.5,0.0,0.0,0.0,0.0,-0.009255017153918743,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.6014593,searching_for_gap,0,0.009155933314465767,-0.0008452422591886667,-0.003403018682670123,1.5,0.0,0.0,0.0,0.0,-0.004807538352906704,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.6123524,searching_for_gap,0,0.009155933314465767,-0.0008452422591886667,-0.003403018682670123,1.5,0.0,0.0,0.0,0.0,-0.003555852686986327,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.621348,searching_for_gap,0,0.011891157298765364,-0.0009918674781826948,-0.003849399331025793,1.5,0.0,0.0,0.0,0.0,-0.0034226947464048862,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.6315286,searching_for_gap,0,0.011891157298765364,-0.0009918674781826948,-0.003849399331025793,1.5,0.0,0.0,0.0,0.0,-0.0039020637050271034,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.642982,searching_for_gap,0,0.011891157298765364,-0.0009918674781826948,-0.003849399331025793,1.5,0.0,0.0,0.0,0.0,-0.004061853513121605,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.6514454,searching_for_gap,0,0.011891157298765364,-0.0009918674781826948,-0.003849399331025793,1.5,0.0,0.0,0.0,0.0,6.11540672252886e-05,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.6613364,searching_for_gap,0,0.011891157298765364,-0.0009918674781826948,-0.003849399331025793,1.5,0.0,0.0,0.0,0.0,-0.00043995422311127186,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.6713953,searching_for_gap,0,0.011891157298765364,-0.0009918674781826948,-0.003849399331025793,1.5,0.0,0.0,0.0,0.0,0.0017133003566414118,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.681544,searching_for_gap,0,0.011891157298765364,-0.0009918674781826948,-0.003849399331025793,1.5,0.0,0.0,0.0,0.0,0.0014173935633152723,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.6914876,searching_for_gap,0,0.011891157298765364,-0.0009918674781826948,-0.003849399331025793,1.5,0.0,0.0,0.0,0.0,0.004253166727721691,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.7016716,searching_for_gap,0,0.011891157298765364,-0.0009918674781826948,-0.003849399331025793,1.5,0.0,0.0,0.0,0.0,0.003636694513261318,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.7113652,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,0.004006578121334314,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.7213748,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,0.0030941986478865147,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.732584,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,0.0037599888164550066,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.7432837,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,0.002033866010606289,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.7514231,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,0.002107842592522502,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.763525,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,0.0019105714745819569,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.7715592,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,0.00585599523037672,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.7813394,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,0.00506691075861454,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.7916512,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,0.004475097171962261,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.8015933,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,-0.0007595335482619703,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.811567,searching_for_gap,0,0.010523060593670499,-0.0003831186415286607,-0.003064394599800568,1.5,0.0,0.0,0.0,0.0,-0.00145195540972054,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.821394,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,-0.00145195540972054,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.8325815,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,-0.0007595335482619703,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.8414035,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,-0.00033342777169309556,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.8513737,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,-0.0014253237750381231,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.8614767,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,-0.001398692256771028,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.8716624,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,0.00040637864731252193,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.8814092,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,0.0007022854406386614,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.8914764,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,0.0007762621389701962,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.9017005,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,-0.0021976404823362827,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.9113753,searching_for_gap,0,0.01099619943144001,-0.0018390530218020545,-0.0029534472078740492,1.5,0.0,0.0,0.0,0.0,-0.0020911141764372587,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.9215639,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,-0.002703641075640917,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.932507,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,-0.0018247979460284114,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.9415107,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,-0.0008127967594191432,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.9525957,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,0.00018444856686983258,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.962165,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,6.11540672252886e-05,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.9713783,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,0.001836594776250422,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.9818463,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,0.0006283087423071265,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451300.9925013,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,0.0012201223289594054,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.0015643,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,-0.00025353292585350573,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.0113258,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,0.0002584252506494522,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.0223882,searching_for_gap,0,0.009163495013588378,-0.002055726181139851,-0.00312916240179062,1.5,0.0,0.0,0.0,0.0,-6.711165769957006e-05,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.0316215,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,-0.0018780612153932452,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.0414255,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,-0.0013454289874061942,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.0515857,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,-0.0009725864510983229,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.061613,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,6.11540672252886e-05,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.071445,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,-0.003635747591033578,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.081481,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,-0.0029965888243168592,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.0914752,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,-0.0031563786324113607,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.1017666,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,0.00023376636090688407,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.1126797,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,-0.00025353292585350573,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.1214182,searching_for_gap,0,0.01050245751284032,-0.005028578080204075,-0.002776180075764856,1.5,0.0,0.0,0.0,0.0,-0.00028016456053592265,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.13165,searching_for_gap,0,0.010726280897038474,-0.0005463572572618897,-0.00338255357330608,1.5,0.0,0.0,0.0,0.0,1.1836271369247697e-05,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.1413827,searching_for_gap,0,0.010726280897038474,-0.0005463572572618897,-0.00338255357330608,1.5,0.0,0.0,0.0,0.0,-0.0011856392957270145,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.1516368,searching_for_gap,0,0.010726280897038474,-0.0005463572572618897,-0.00338255357330608,1.5,0.0,0.0,0.0,0.0,-0.0008660599705763161,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.16153,searching_for_gap,0,0.010726280897038474,-0.0005463572572618897,-0.00338255357330608,1.5,0.0,0.0,0.0,0.0,-0.000892691605258733,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.1714344,searching_for_gap,0,0.010726280897038474,-0.0005463572572618897,-0.00338255357330608,1.5,0.0,0.0,0.0,0.0,0.00045569645590148866,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.181925,searching_for_gap,0,0.010726280897038474,-0.0005463572572618897,-0.00338255357330608,1.5,0.0,0.0,0.0,0.0,-9.374327055411413e-05,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.1916564,searching_for_gap,0,0.010726280897038474,-0.0005463572572618897,-0.00338255357330608,1.5,0.0,0.0,0.0,0.0,-0.0010791128734126687,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.2015686,searching_for_gap,0,0.010726280897038474,-0.0005463572572618897,-0.00338255357330608,1.5,0.0,0.0,0.0,0.0,-0.0033694314770400524,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.2114165,searching_for_gap,0,0.010726280897038474,-0.0005463572572618897,-0.00338255357330608,1.5,0.0,0.0,0.0,0.0,-0.003662379225715995,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.221521,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,-0.0033694314770400524,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.2313764,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,-0.004860801622271538,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.2433183,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,-0.00430153775960207,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.2515666,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,-0.004887433256953955,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.2614899,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,-0.0016650083707645535,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.2724524,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,-0.0024373249616473913,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.2814605,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,-0.0016650083707645535,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.291705,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,-0.0012389025650918484,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.301433,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,0.0017133003566414118,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.3134496,searching_for_gap,0,0.011269401773605126,-0.0015800539018086908,-0.003946690393278551,1.5,0.0,0.0,0.0,0.0,0.002354431664571166,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.3214,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,0.0013434168649837375,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.3315117,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,-0.0005198490689508617,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.3422942,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,-0.0016117451013997197,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.3517454,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,-0.0005731122801080346,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.3616385,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,-0.0005198490689508617,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.3717694,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,-0.001984587637707591,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.3814614,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,-0.002597114769741893,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.3913603,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,-0.0033960631117224693,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.4034631,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,-0.0015584818320348859,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.4114125,searching_for_gap,0,0.009241199912088924,0.0002583332745966224,-0.0030157469786580298,1.5,0.0,0.0,0.0,0.0,-0.0016650083707645535,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.4215205,searching_for_gap,0,0.011037976484694026,-0.0033708527200177413,-0.0030038384072832436,1.5,0.0,0.0,0.0,0.0,-0.0005731122801080346,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.432454,searching_for_gap,0,0.011037976484694026,-0.0033708527200177413,-0.0030038384072832436,1.5,0.0,0.0,0.0,0.0,-0.0011057445080950856,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.4415133,searching_for_gap,0,0.011037976484694026,-0.0033708527200177413,-0.0030038384072832436,1.5,0.0,0.0,0.0,0.0,-0.0010258496040478349,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.4514163,searching_for_gap,0,0.011037976484694026,-0.0033708527200177413,-0.0030038384072832436,1.5,0.0,0.0,0.0,0.0,-0.0018247979460284114,0.75,-1.911751879645298e-15,0.0,0.0,0.0
1788451301.4644988,searching_for_gap,0,0.011037976484694026,-0.0033708527200177413,-0.0030038384072832436,1.5,0.0,0.0,0.0,0.0,-0.0012921657180413604,0.75,-1.911751879645298e-15,0.0,0.0,0.0
