stamp_s,ref_x,ref_y,ref_yaw,ref_curvature,target_str,act_str,v_ref,act_v,dx,dy,dyaw
1788422548.7376585,1.0,0.0,0.0,0.0,0.0,-0.0023840616922825575,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.7430465,1.0,0.0,0.0,0.0,0.0,-0.0027835359796881676,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.753268,1.0,0.0,0.0,0.0,0.0,-0.0011057445080950856,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.7636187,1.0,0.0,0.0,0.0,0.0,-0.00014700648898724467,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.7766402,1.0,0.0,0.0,0.0,0.0,0.00018444856686983258,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.7830067,1.0,0.0,0.0,0.0,0.0,-0.0007062703371047974,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.7936122,1.0,0.0,0.0,0.0,0.0,-0.0018780612153932452,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.805791,1.0,0.0,0.0,0.0,0.0,-0.0022775353863835335,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.8144789,1.0,0.0,0.0,0.0,0.0,-0.003129746997728944,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.8229933,1.0,0.0,0.0,0.0,0.0,-0.0023041670210659504,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.8340638,1.0,0.0,0.0,0.0,0.0,-0.0024106933269649744,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.8431463,1.0,0.0,0.0,0.0,0.0,-0.002543851500377059,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.8532305,1.0,0.0,0.0,0.0,0.0,-0.004887433256953955,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.8638415,1.0,0.0,0.0,0.0,0.0,-0.004887433256953955,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.8753045,1.0,0.0,0.0,0.0,0.0,-0.005047223065048456,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.882879,1.0,0.0,0.0,0.0,0.0,-0.0024373249616473913,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.8930027,1.0,0.0,0.0,0.0,0.0,-0.002650377806276083,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.9041896,1.0,0.0,0.0,0.0,0.0,-0.0021976404823362827,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.9173517,1.0,0.0,0.0,0.0,0.0,-0.0028101676143705845,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.922851,1.0,0.0,0.0,0.0,0.0,-0.0028367992490530014,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.9326727,1.0,0.0,0.0,0.0,0.0,-0.0026770094409585,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.9445946,1.0,0.0,0.0,0.0,0.0,-0.0022509037517011166,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.9529207,1.0,0.0,0.0,0.0,0.0,-0.0016117451013997197,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.969866,1.0,0.0,0.0,0.0,0.0,-0.002037850907072425,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.9778454,1.0,0.0,0.0,0.0,0.0,-0.002011219272390008,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.9860005,1.0,0.0,0.0,0.0,0.0,-0.0046211169101297855,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422548.9948661,1.0,0.0,0.0,0.0,0.0,-0.0046477485448122025,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.0027921,1.0,0.0,0.0,0.0,0.0,-0.004727643448859453,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.0126874,1.0,0.0,0.0,0.0,0.0,-0.0019046928500756621,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.030687,1.0,0.0,0.0,0.0,0.0,-0.0008394283941015601,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
