map_x,map_y
0.7509022355079651,-3.773338556289673
0.9320629835128784,-3.7825124263763428
1.0002620220184326,-3.7498953342437744
1.0685395002365112,-3.739739179611206
1.14747154712677,-3.7299656867980957
3.323239803314209,2.1316304206848145
3.1485908031463623,2.1232686042785645
-0.3589366674423218,-0.061177242547273636
-0.3377264738082886,-0.11461824178695679
-0.6015928983688354,-0.28329068422317505
-0.43975895643234253,-0.5641704201698303
-0.3515107333660126,-0.5479873418807983
-1.8745054006576538,-3.4615557193756104
-1.8033599853515625,-3.4757187366485596
-1.712309718132019,-3.4529449939727783
-1.6261866092681885,-3.4325098991394043
-1.5476982593536377,-3.421985626220703
-1.4731913805007935,-3.413931369781494
-1.4006659984588623,-3.408946990966797
-1.3829710483551025,-3.539159059524536
-1.2519409656524658,-3.3967604637145996
-1.0970088243484497,-3.3708205223083496
-1.003744125366211,-3.3606438636779785
-0.9868258237838745,-3.623945951461792
-0.9246354103088379,-3.6411564350128174
-0.8517103791236877,-3.6492786407470703
-0.7568693161010742,-3.6538281440734863
-0.6666719913482666,-3.663238525390625
-0.5933293700218201,-3.6687750816345215
-0.5239802002906799,-3.6827783584594727
-0.4446527659893036,-3.687903642654419
-0.35644927620887756,-3.700537919998169
-0.27243030071258545,-3.709071397781372
-0.19991858303546906,-3.713353157043457
-0.12566636502742767,-3.7192234992980957
-0.03972689434885979,-3.726949453353882
0.046263642609119415,-3.734480619430542
0.12325232475996017,-3.7436490058898926
0.19480589032173157,-3.7443928718566895
0.38803473114967346,-3.7708559036254883
0.4547819495201111,-3.768693447113037
0.5234594345092773,-3.7716166973114014
0.6695745587348938,-3.7759451866149902
0.8625274896621704,-3.757290840148926
2.6808254718780518,-2.981275796890259
2.685770273208618,-2.9141554832458496
2.7606101036071777,-2.812262535095215
-1.9125640392303467,0.9116519093513489
-1.9019516706466675,0.8539491891860962
-1.9104762077331543,0.7596496343612671
-1.9210388660430908,0.6636970043182373
-1.9648597240447998,0.49672573804855347
-2.5729563236236572,0.3468397557735443
-0.4372442066669464,-0.04982002452015877
-0.49747762084007263,-0.5888932943344116
-1.3248014450073242,-3.4007465839385986
-1.1737154722213745,-3.387115716934204
0.5970726609230042,-3.77473783493042
3.6382627487182617,0.9102434515953064
3.6350677013397217,0.9911267757415771
3.371222496032715,2.1714982986450195
3.229886293411255,2.1626718044281006
3.6150741577148438,1.1812299489974976
0.834291398525238,-3.7855210304260254
-0.916445255279541,-3.3599133491516113
2.8395209312438965,-2.825641632080078
-0.7420080900192261,-0.07270026206970215
-0.1913800984621048,-0.45801520347595215
-2.6903181076049805,-0.06070335581898689
-2.614224433898926,-0.13403724133968353
-2.197669267654419,-0.17500275373458862
-2.702791929244995,1.316458821296692
2.269824504852295,2.187471389770508
-2.666588306427002,-0.11263032257556915
-3.2932229042053223,2.1979219913482666
-0.8832805752754211,2.1467983722686768
-0.8431466817855835,2.3819799423217773
-2.0177905559539795,0.4427505135536194
2.7514398097991943,-2.9131722450256348
-3.423212766647339,1.9567307233810425
-3.450483798980713,1.8140618801116943
-3.435739517211914,1.8842055797576904
-2.253025770187378,2.0443315505981445
-2.2623016834259033,1.9546287059783936
-2.0825750827789307,2.2283895015716553
-2.1228291988372803,2.151019334793091
-2.198427438735962,2.0236334800720215
-2.0297322273254395,2.306459665298462
-2.162581205368042,2.0949206352233887
-1.9367761611938477,0.578544557094574
-1.9409416913986206,2.097027063369751
-1.9458156824111938,2.0044567584991455
-1.6925376653671265,2.158933162689209
-1.792123794555664,2.1171786785125732
-1.855918526649475,2.049225091934204
-1.6461378335952759,2.201629638671875
-3.399388551712036,2.022975444793701
-1.6435500383377075,2.288464307785034
