segment,index,map_x,map_y
path_straight1,0,5.189727715899313,-0.13682723117836837
path_straight1,1,3.1922203193635346,-0.236648074617279
path_arc,0,3.1922203193635346,-0.236648074617279
path_arc,1,3.1137055466080903,-0.23788740919065599
path_arc,2,3.035289234727638,-0.23376581701148225
path_arc,3,2.9573369967666174,-0.22430251484510144
path_arc,4,2.8802122820426304,-0.20954162497465312
path_arc,5,2.8042746815779487,-0.18955196948261932
path_arc,6,2.7298782515201716,-0.16442674937050694
path_arc,7,2.6573698623690283,-0.13428311001275572
path_arc,8,2.587087581705986,-0.0992615949709259
path_arc,9,2.519359097967125,-0.05952549071473623
path_arc,10,2.4545001926083874,-0.015260065305166881
path_arc,11,2.392813267786653,0.03332829541076465
path_arc,12,2.3345859364212926,0.08601305006609405
path_arc,13,2.2800896812099682,0.14254855801433908
path_arc,14,2.2295785888509787,0.20267122461958442
path_arc,15,2.183288165373778,0.26610073025635594
path_arc,16,2.141434238101151,0.3325413372891146
path_arc,17,2.1042119493626084,0.4016832689376326
path_arc,18,2.0717948466507616,0.4732041535993412
path_arc,19,2.0443340734628013,0.5467705278945534
path_arc,20,2.021957664599743,0.6220393914266746
path_arc,21,2.0047699492090785,0.6986598060083857
path_arc,22,1.9928510643541348,0.7762745318974744
path_arc,23,1.9862565813780884,0.8545216934134201
path_straight2,0,1.9862565813780884,0.85452169341342
path_straight2,1,1.8864357379391778,2.8520290899491987
path_points:P0,0,1.9862565813780884,0.85452169341342
path_points:E,0,3.1922203193635346,-0.236648074617279
path_points:S,0,5.189727715899313,-0.13682723117836837
path_points:goal,0,1.8864357379391778,2.8520290899491987
