segment,index,map_x,map_y
exit_path_straight2,0,1.8864357379391778,2.852029089949199
exit_path_straight2,1,1.9862565813780884,0.85452169341342
exit_path_arc,0,1.9862565813780884,0.8545216934134201
exit_path_arc,1,1.9874959159514654,0.7760069206579756
exit_path_arc,2,1.9833743237722914,0.6975906087775233
exit_path_arc,3,1.9739110216059106,0.619638370816503
exit_path_arc,4,1.9591501317354627,0.5425136560925161
exit_path_arc,5,1.9391604762434287,0.46657605562783416
exit_path_arc,6,1.9140352561313163,0.3921796255700569
exit_path_arc,7,1.883891616773565,0.3196712364189138
exit_path_arc,8,1.8488701017317353,0.24938895575587117
exit_path_arc,9,1.809133997475546,0.18166047201701085
exit_path_arc,10,1.7648685720659765,0.11680156665827313
exit_path_arc,11,1.7162802113500444,0.05511464183653836
exit_path_arc,12,1.663595456694715,-0.0031126895288222656
exit_path_arc,13,1.6070599487464707,-0.057608944740146106
exit_path_arc,14,1.5469372821412253,-0.10812003709913565
exit_path_arc,15,1.4835077765044533,-0.1544104605763369
exit_path_arc,16,1.4170671694716948,-0.1962643878489635
exit_path_arc,17,1.3479252378231765,-0.23348667658750621
exit_path_arc,18,1.2764043531614684,-0.26590377929935316
exit_path_arc,19,1.2028379788662562,-0.2933645524873133
exit_path_arc,20,1.127569115334135,-0.3157409613503722
exit_path_arc,21,1.0509487007524236,-0.3329286767410363
exit_path_arc,22,0.9733339748633347,-0.34484756159597973
exit_path_arc,23,0.8950868133473893,-0.3514420445720262
exit_path_straight1,0,0.8950868133473893,-0.3514420445720262
exit_path_straight1,1,-1.102420583188389,-0.4512628880109367
exit_path_points:start,0,1.8864357379391778,2.852029089949199
exit_path_points:P0,0,1.9862565813780884,0.85452169341342
exit_path_points:E,0,0.8950868133473893,-0.3514420445720262
exit_path_points:end,0,-1.102420583188389,-0.4512628880109367
